pdf_page,printed_page,english_confidence,text_length,reason
2,,36.38,99,low OCR confidence or sparse text
7,,34.36,99,low OCR confidence or sparse text
9,,,99,low OCR confidence or sparse text
11,,30.8,99,low OCR confidence or sparse text
