source_class,document_id,title,date,author_or_speakers,genre,canonical_file,record_count,source_priority,note
audio-transcript,audio-40,40 Quran Study From Parivash 1340 Sura 3;59 12 29 1989,,Catherine:274 | Dr. Khalifa:216 | A man:23 | Edip:15 | A woman:12 | Douglas:10 | Matt:7,spoken recording,transcripts/audio/40 - Quran Study From Parivash 1340 Sura 3_59 12 29 1989.csv,557,canonical_transcript,original transcript unchanged
video-transcript,video-41,33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,,blank:146,spoken recording,transcripts/video/41 - Friday Sermon What About Previous Generations (12-30-1988).csv,146,canonical_transcript,original transcript unchanged
audio-transcript,audio-41,41 Quran Study From Parivash 1441 Sura 54 By Rashad Alfateha For Anything You Wish Extreme Libertari,,Dr. Khalifa:445 | Dr. Sabahi:44 | A woman:32 | A man:21 | Ali:10 | Naghmeh:4 | Martha:3 | Catherine:2 | Apamea:1 | Francisco:1 | Audience:1,spoken recording,transcripts/audio/41 - Quran Study From Parivash 1441 Sura 54 By Rashad Alfateha For Anything You Wish Extreme Libertari.csv,564,canonical_transcript,original transcript unchanged
video-transcript,video-42,35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,,blank:160 | Submission:64,spoken recording,"transcripts/video/42 - Friday Sermon Remember GOD Constantly, Submitter vs Objector (01-13-1989).csv",224,canonical_transcript,original transcript unchanged
audio-transcript,audio-42,42 Quran Study From Roxana 142 Interview With Rashad By Ray Caton Insurance Interest,,Dr. Khalifa:596 | A man:70 | Ray Caton:27 | Audience:3,spoken recording,transcripts/audio/42 - Quran Study From Roxana 142 Interview With Rashad By Ray Caton Insurance Interest.csv,696,canonical_transcript,original transcript unchanged
video-transcript,video-43,36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,,blank:205,spoken recording,"transcripts/video/43 - Friday Sermon Revelation of Quran to Revelation of Miracle, Importance of Dawn Prayer (02-03-1989).csv",205,canonical_transcript,original transcript unchanged
audio-transcript,audio-43,43 Quran Study From Roxana 243 Third International Conference Tucson Rashad's Speech Sura 17;39 Insu,,Dr. Khalifa:807 | A man:98 | A woman:59 | Edip:54 | Parivash:33 | Ismail Barakat:15 | Saeed:2 | Raymond:1 | Hanan:1,spoken recording,transcripts/audio/43 - Quran Study From Roxana 243 Third International Conference Tucson Rashad_s Speech Sura 17_39 Insu.csv,1070,canonical_transcript,original transcript unchanged
video-transcript,video-44,37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,,blank:233,spoken recording,"transcripts/video/44 - Friday Sermon Original Sin, Only GOD Guides, Majority of Believers Are Going to Hell (03-03-1989).csv",233,canonical_transcript,original transcript unchanged
audio-transcript,audio-44,44 Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By,,Dr. Khalifa:725 | Edip:81 | A woman:69 | Dana:34 | Hamid:19 | A man:14 | Lydia:3,spoken recording,transcripts/audio/44 - Quran Study From Roxana 344 Sura 64 By Rashad Nothing Happens Angels Are Best Surgons Sura 59 By.csv,945,canonical_transcript,original transcript unchanged
video-transcript,video-45,38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,,blank:211,spoken recording,"transcripts/video/45 - Friday Sermon Purpose of Messengers, The Advent of the Pure Quran (03-17-1989).csv",211,canonical_transcript,original transcript unchanged
audio-transcript,audio-45,45 Quran Study From Roxana 445 Sura 40 By Rashad Firoz's Home Deja Vu Believers Usually 95 Yrs Old F,,Dr. Khalifa:920 | Ismail Barakat:90 | A man:82 | A woman:69 | Ihsan:7 | Raymond:2 | Carol:2 | A kid:1 | Craig:1 | Ezzedin:1,spoken recording,transcripts/audio/45 - Quran Study From Roxana 445 Sura 40 By Rashad Firoz_s Home Deja Vu Believers Usually 95 Yrs Old F.csv,1175,canonical_transcript,original transcript unchanged
video-transcript,video-46,39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,,blank:320,spoken recording,transcripts/video/46 - Friday Sermon Why Announce Messengership (08-11-1989).csv,320,canonical_transcript,original transcript unchanged
audio-transcript,audio-46,46 Quran Study From Roxana 546 Sura 37;159 To 38;25 Sura 9;50 & Sura 39;11 Admission Test I Don't Co,,Dr. Khalifa:818 | A man:113 | A woman:92 | Parivash:15 | Behrouz:7 | Mehdi:2 | Naima:2 | Edip:2 | A kid:1 | Audience:1 | Mahmoud:1 | Roxana:1 | Feroz:1 | A child:1,spoken recording,transcripts/audio/46 - Quran Study From Roxana 546 Sura 37_159 To 38_25 Sura 9_50 & Sura 39_11 Admission Test I Don_t Co.csv,1057,canonical_transcript,original transcript unchanged
video-transcript,video-47,40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,,Dr. Khalifa:141 | blank:55 | Edip:17 | A Woman:1 | Abdullah:1,spoken recording,"transcripts/video/47 - Friday Sermon Proving Every Verse, Word, Letter, with Irrefutable Evidence (11-09-1989).csv",215,canonical_transcript,original transcript unchanged
audio-transcript,audio-47,47 Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2,,Dr. Khalifa:716 | Catherine:188 | A man:11 | Edip:10 | Feroz:9 | A woman:7 | Movel:5 | Abdullah:3 | Dana:2 | Frank:1,spoken recording,transcripts/audio/47 - Quran Study From Roxana 647 Introduction To Blue Quran Sura 1 & Beginning Of Sura 2.csv,952,canonical_transcript,original transcript unchanged
video-transcript,video-48,41 Friday Sermon by dr Rashad Khalifa the Heavenly Feud the Importance of Killing the Ego 1989 09 29,,blank:255 | Dr. Khalifa:49 | Edip:1,spoken recording,"transcripts/video/48 - Friday Sermon The Heavenly Feud, The Importance of Killing the Ego (11-29-1989).csv",305,canonical_transcript,original transcript unchanged
audio-transcript,audio-48,48 Quran Study 48 Rashad's Speech Parivash's Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989,,Dr. Khalifa:948 | A man:185 | A woman:87 | Edip:23 | Audience:11 | Behrouz:6 | Parivash:4,spoken recording,transcripts/audio/48 - Quran Study 48 Rashad_s Speech Parivash_s Home Salat Zakat Fazeli A Muhamaden Argues 01 11 1989.csv,1264,canonical_transcript,original transcript unchanged
video-transcript,video-49,42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,,blank:190,spoken recording,"transcripts/video/49 - Friday Sermon Proving Salat al-Jummah, The Righteous Go Straight to Heaven (11-26-1989).csv",190,canonical_transcript,original transcript unchanged
audio-transcript,audio-49,49 Quran Study 49 Speech Of Rashad Parivash's Home 19 Math 11 05 1989,,Dr. Khalifa:453 | A man:36 | A woman:3 | Behrouz:1,spoken recording,transcripts/audio/49 - Quran Study 49 Speech Of Rashad Parivash_s Home 19 Math 11 05 1989.csv,493,canonical_transcript,original transcript unchanged
video-transcript,video-50,43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,,Edip:109 | blank:94 | Dr. Khalifa:35,spoken recording,"transcripts/video/50 - Friday Sermon Miracle of Miracles - Al-Fatiha, Proving the Five Salat (12-08-1989).csv",238,canonical_transcript,original transcript unchanged
audio-transcript,audio-50,50 Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198,,A woman:399 | Dr. Khalifa:184 | Catherine:81 | Edip:35 | A man:30 | Mahmoud:9 | David:2 | Audience:2,spoken recording,transcripts/audio/50 - Quran Study 50 Sura 92 & Sura 93 & Sura 94 By Kathryn Zakat Not Limited To Earned Money 07 27 198.csv,742,canonical_transcript,original transcript unchanged
video-transcript,video-51,44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,,blank:218 | Dr. Khalifa:6 | A Man:2,spoken recording,transcripts/video/51 - Friday Sermon United Submitters International Conference (1989).csv,226,canonical_transcript,original transcript unchanged
audio-transcript,audio-51,51 Quran Study 51 Sura 17;59 Rashad 1990,,Dr. Khalifa:420 | A man:130 | A woman:53 | Edip:18 | Muhammad:10 | A child:7 | Feroz:4 | Behrouz:2,spoken recording,transcripts/audio/51 - Quran Study 51 Sura 17_59 Rashad 1990.csv,644,canonical_transcript,original transcript unchanged
audio-transcript,audio-52,52 Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial,,Dr. Khalifa:218 | A man:30 | Iman:26 | A woman:20 | Catherine:11 | Dr. Sabahi:10 | Edip:9 | Douglas:6 | Frank:1,spoken recording,transcripts/audio/52 - Quran Study 5⧸8⧸89 by Linda Sura 1 & 2 partial.csv,331,canonical_transcript,original transcript unchanged
audio-transcript,audio-53,53 Quran Study 22 Oct 1982 By Dr  Rashad Khalifa - Original,,Dean Mahmoud:168 | A man:157 | Dr. Khalifa:126 | A woman:4,spoken recording,transcripts/audio/53 - Quran Study 22 Oct 1982 By Dr Rashad Khalifa - Original.csv,455,canonical_transcript,original transcript unchanged
audio-transcript,audio-54,54 Quran Study 22 Oct 1982 By Dr Rashad Khalifa,,Dr. Khalifa:441 | Dean Mahmoud:243 | A woman:100 | A man:79 | Inga:75 | Carl:18 | Samira:6,spoken recording,transcripts/audio/54 - Quran Study 22 Oct 1982 By Dr Rashad Khalifa.csv,962,canonical_transcript,original transcript unchanged
audio-transcript,audio-55,55 Zikr 23 Oct 1982 By Dr Rashad Khalifa,,blank:20 | Dr. Khalifa:18 | A woman:7 | A man:1,spoken recording,transcripts/audio/55 - Zikr 23 Oct 1982 By Dr Rashad Khalifa.csv,46,canonical_transcript,original transcript unchanged
audio-transcript,audio-56,56 Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa,,Dr. Khalifa:1004 | Dean Mahmoud:36 | A man:17 | A woman:7,spoken recording,transcripts/audio/56 - Friday Sermon 29 Oct 1982 By Dr Rashad Khalifa.csv,1064,canonical_transcript,original transcript unchanged
audio-transcript,audio-57,57 Quran Study 05 Nov 1982 By Dr Rashad Khalifa,,Dean Mahmoud:337 | Dr. Khalifa:310 | A man:91 | A woman:9,spoken recording,transcripts/audio/57 - Quran Study 05 Nov 1982 By Dr Rashad Khalifa.csv,747,canonical_transcript,original transcript unchanged
audio-transcript,audio-58,58 Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa,,Dr. Khalifa:350 | Latifa:117 | Dean Mahmoud:101 | A man:16 | A woman:12 | Inga:11,spoken recording,transcripts/audio/58 - Friday Sermon 12 Nov 1982 By Dr Rashad Khalifa.csv,607,canonical_transcript,original transcript unchanged
audio-transcript,audio-59,59 Friday Sermon 19 Nov 1982 By Dean Mahmoud,,Dean Mahmoud:443 | A man:5,spoken recording,transcripts/audio/59 - Friday Sermon 19 Nov 1982 By Dean Mahmoud.csv,448,canonical_transcript,original transcript unchanged
audio-transcript,audio-60,60 Friday Sermon 19 Nov 1982 By Dr Rashad Khalifa,,Dr. Khalifa:342 | Latifa:113 | Dean Mahmoud:103 | A man:85 | A woman:47 | Fatima:11,spoken recording,transcripts/audio/60 - Friday Sermon 19 Nov 1982 By Dr Rashad Khalifa.csv,701,canonical_transcript,original transcript unchanged
audio-transcript,audio-61,61 Friday Sermon 1982 By Dr Rashad Khalifa,,Dr. Khalifa:1018 | A man:231 | A woman:64 | Fatima:3 | Ahmad:3 | Audience:1 | Carl:1 | Rashid:1,spoken recording,transcripts/audio/61 - Friday Sermon 1982 By Dr Rashad Khalifa.csv,1322,canonical_transcript,original transcript unchanged
audio-transcript,audio-62,62 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,,Dr. Khalifa:387 | Carl:156 | A man:138 | A woman:126 | Latifa:51 | Donna:32,spoken recording,transcripts/audio/62 - Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa.csv,890,canonical_transcript,original transcript unchanged
audio-transcript,audio-63,63 Friday Sermon 03 Dec. 1982 By Dr Rashad Khalifa,,Dr. Khalifa:634 | Dean Mahmoud:507 | A man:26 | A woman:18,spoken recording,transcripts/audio/63 - Friday Sermon 03 Dec. 1982 By Dr Rashad Khalifa.csv,1185,canonical_transcript,original transcript unchanged
audio-transcript,audio-64,64 Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa,,Dr. Khalifa:716 | A man:147 | A woman:120 | Dean Mahmoud:87 | Inga:29 | Carl:21 | Latifa:20 | Ahmad:13 | Fatima:9 | Audience:8 | Beth:1 | Adam:1,spoken recording,transcripts/audio/64 - Friday Sermon 26 Nov 1982 By Dr Rashad Khalifa.csv,1172,canonical_transcript,original transcript unchanged
audio-transcript,audio-65,65 Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa,,Dr. Khalifa:437 | A man:425 | Dean Mahmoud:94 | A woman:86 | Audience:4,spoken recording,transcripts/audio/65 - Friday Sermon 03 Dec. 1982 & 10 Dec. 1982 By Dr Rashad Khalifa.csv,1046,canonical_transcript,original transcript unchanged
audio-transcript,audio-66,66 Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa,,Dr. Khalifa:741 | Dean Mahmoud:205 | A man:124 | A woman:20 | Iman:8 | Jahan:2,spoken recording,transcripts/audio/66 - Friday Sermon 10 Dec. 1982 By Dr Rashad Khalifa.csv,1100,canonical_transcript,original transcript unchanged
audio-transcript,audio-67,67 Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa,,Dr. Khalifa:299 | Dean Mahmoud:257 | A man:43 | Latifa:43 | A woman:28 | Iman:5 | Loreta:1,spoken recording,transcripts/audio/67 - Friday Sermon 10 Dec. 1982 By Dr. Rashad Khalifa.csv,676,canonical_transcript,original transcript unchanged
audio-transcript,audio-68,68 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,,Dean Mahmoud:386 | Dr. Khalifa:142 | A man:128 | A woman:3,spoken recording,transcripts/audio/68 - Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa.csv,659,canonical_transcript,original transcript unchanged
audio-transcript,audio-69,69 Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa,,Dr. Khalifa:601 | Dean Mahmoud:114 | A man:35 | A woman:26 | Latifa:1,spoken recording,transcripts/audio/69 - Friday Sermon 17 Dec. 1982 By Dr. Rashad Khalifa.csv,777,canonical_transcript,original transcript unchanged
video_parallel_track-transcript,debate-rashad-khalifa-vs-sunni-scholars-1987,Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),,blank:2351,spoken recording,transcripts/video_parallel_track/Debate Dr Rashad Khalifa Ph D vs Sunni Scholars (1987) - Arabic.csv,2351,canonical_transcript,original transcript unchanged
video_parallel_track-transcript,debate-rashad-khalifa-vs-sunni-scholars-1987,Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),,blank:1193,spoken recording,transcripts/video_parallel_track/Debate Dr Rashad Khalifa Ph D vs Sunni Scholars (1987).csv,1193,canonical_transcript,original transcript unchanged
written-work,written/W01,Miracle of the Quran: Significance of the Mysterious Alphabets,1973,Rashad Khalifa,research monograph,written/originals/W01.json,216,historical_primary,Use for the origin and early form of the mysterious-initial calculations.
written-work,written/W02,"ISLAM, Volume 1, Number 1",1974-04,Multiple contributors; Rashad Khalifa was an editor and contributor,multi-author journal issue,written/originals/W02.json,90,historical_context,Never attribute the whole issue to Rashad. Determine the author of each article before quoting.
written-work,written/W03,"ISLAM, Volume 1, Number 2",1974-07,Multiple contributors; Rashad Khalifa was an editor and contributor,multi-author journal issue,written/originals/W03.json,92,historical_context,Never attribute the whole issue to Rashad. Determine the author of each article before quoting.
written-work,written/W04,"ISLAM, Volume 1, Numbers 3 and 4",1975-01,Multiple contributors; Rashad Khalifa was an editor and contributor,multi-author journal issue,written/originals/W04.json,139,historical_context,Never attribute the whole issue to Rashad. Determine the author of each article before quoting.
written-work,written/W05,English Meanings of the Quran,1974,Rashad Khalifa,early Quran translation installment,written/originals/W05.json,16,historical_secondary,This early rendering is superseded by the 1992 final English edition for final-translation questions.
written-work,written/W06,The Perpetual Miracle of Muhammad,,Rashad Khalifa,lecture booklet or presentation text,written/originals/W06.json,16,historical_primary,The text repeatedly describes a sixty-minute presentation. Exact publication date requires verification.
written-work,written/W07,The Computer Speaks: God's Message to the World,1981,Rashad Khalifa,numerical research compilation,written/originals/W07.json,280,published_primary,The title-page OCR is imperfect. Treat 1981 as the working date until the scan is visually confirmed.
written-work,written/W08,"Quran, Hadith, and Islam",1982,Rashad Khalifa,doctrinal monograph,written/originals/W08.json,92,published_primary,High-priority source for Rashad's official 1982 Quran-alone position.
written-work,written/W09,Quran: Visual Presentation of the Miracle,1982,Rashad Khalifa,visual numerical research monograph,written/originals/W09.json,252,published_primary,Many pages are tables or facsimiles. Use the original page JSON and review low-quality OCR before quoting.
written-work,written/W10,ETERNITY,1983,Rashad Khalifa,screenplay,written/originals/W10.json,94,creative_context,Do not treat fictional dialogue as a formal doctrinal ruling unless corroborated by a doctrinal source.
written-work,written/W11,The Contact Prayers,,United Submitters International / Rashad Khalifa movement,ritual instruction booklet,written/originals/W11.json,8,procedural_primary,"Give this source priority over casual spoken answers for step-by-step prayer procedure, while preserving later final-edition notes if they conflict."
quran-historical-edition,quran/1981,Quran: The Final Scripture (Authorized English Version),1981,"Rashad Khalifa, Ph.D.",complete Quran translation with commentary and appendices,written/quran1981/Q1981.json,562,historical_translation_layer,Use for translation development. Prints 9:128–129 in the main text.
quran-historical-edition,quran/1989,Quran: The Final Testament (Authorized English Version) With the Arabic Text,1989,"Rashad Khalifa, Ph.D.",complete bilingual Quran translation with commentary and appendices,written/quran1989/Q1989.json,748,historical_translation_layer,Use for translation development. Main Sura 9 text ends at 9:127.
quran-final-edition,quran/1992,"Quran: The Final Testament, Authorized English Version",1992,Rashad Khalifa,"final Quran translation with titles, subtitles, and footnotes",written/quran1992/,6346,final_edition_highest,Final authority for Rashad's English Quran wording.
