source_class,document_id,title,date,author_or_speakers,genre,canonical_file,record_count,source_priority,note
audio-transcript,audio-06,06 Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989,,Dr. Khalifa:394 | Donna:203 | Hamid:54 | A man:26 | Abdullah:25 | Parivash:23 | Robert:18 | Farhad:16 | A woman:9,spoken recording,transcripts/audio/06 - Quran Study From Azhar 6 Sura 59 By Donna PRA Invisible Giants Hypocrites 03 10 1989.csv,768,canonical_transcript,original transcript unchanged
video-transcript,video-06,08.The Great Debate: Dr. Rashad Khalifa vs Dr. Abdel Rahman,,Dr. Khalifa:741 | Abdel Rahman:432 | blank:19 | Everything Is Wrong:5 | Dr Khalifa:1 | D. Khalifa:1 | A Woman:1,spoken recording,transcripts/video/06 - The Great Debate Dr. Rashad Khalifa vs Dr. Abdel Rahman.csv,1200,canonical_transcript,original transcript unchanged
video-transcript,video-07,09 In Defence of the Bible,,blank:173,spoken recording,transcripts/video/07 - In Defense of the Bible.csv,173,canonical_transcript,original transcript unchanged
audio-transcript,audio-07,07 Quran Study From Azhar 7 Sura 62 & Sura 63 By Kathryn God's Religion Will Dominate In 20 To 50 Yr,,Dr. Khalifa:484 | Catherine:254 | Hamid:118 | A woman:59 | A man:50 | Farhad:16 | Martha:12 | Douglas:11 | Abdullah:7 | Dr. Sabahi:4 | Apamea:3 | Mahmoud:2 | Naghmeh:1 | A person:1,spoken recording,transcripts/audio/07 - Quran Study From Azhar 7 Sura 62 & Sura 63 By Kathryn God_s Religion Will Dominate In 20 To 50 Yr.csv,1022,canonical_transcript,original transcript unchanged
video-transcript,video-08,"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",,blank:506,spoken recording,transcripts/video/08 - Evolution or Creation The Final Argument by Dr. Rashad Khalifa.csv,506,canonical_transcript,original transcript unchanged
audio-transcript,audio-08,08 Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04,,Dr. Khalifa:344 | Lori:221 | Hamid:73 | A man:56 | A woman:14 | Beth:12 | Susan:9 | Laila:3 | A person:3 | Lisa:1,spoken recording,transcripts/audio/08 - Quran Study From Azhar 8 Sura 65 & Sura 66 By Lori Encourage Children To Do Salat Hamid Argues 04.csv,736,canonical_transcript,original transcript unchanged
video-transcript,video-09,11 King of Chaos,,blank:426,spoken recording,transcripts/video/09 - King of Chaos.csv,426,canonical_transcript,original transcript unchanged
audio-transcript,audio-09,09 Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe,,Dr. Khalifa:513 | Edip:279 | A woman:49 | Dr. Sabahi:22 | Douglas:18 | Martha:13 | Farhad:9 | Parivash:8 | Naghmeh:4 | Lydia:3 | A man:3 | Robert:3 | Audience:1 | Apamea:1,spoken recording,transcripts/audio/09 - Quran Study From Azhar 9 Sura 70 By Edip Chastity Worry Edip Wanted Rashad To Change Rich Believe.csv,926,canonical_transcript,original transcript unchanged
audio-transcript,audio-10,10 Quran Study From Azhar 10 Sura 71 & Sura 72 By Afameh Chastity Jinns 05 19 1989,,Dr. Khalifa:558 | Apamea:400 | A woman:82 | Edip:31 | Rami:20 | A man:9 | Beth:6 | Dr. Sabahi:4 | Abdullah:2 | Amir:2 | Parivash:2 | Poopak:1,spoken recording,transcripts/audio/10 - Quran Study From Azhar 10 Sura 71 & Sura 72 By Afameh Chastity Jinns 05 19 1989.csv,1117,canonical_transcript,original transcript unchanged
video-transcript,video-10,34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,,blank:115 | Ismail:56 | Azhar:19,spoken recording,transcripts/video/10 - United Submitters International Conference Explaining the Fulfillment of the Covenant (1988).csv,190,canonical_transcript,original transcript unchanged
audio-transcript,audio-11,11 Quran Study From Behrouz 111 Sura 23;60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19,,Dr. Khalifa:602 | A man:85 | A woman:71 | Behrouz:39 | Mahmoud Abib:19,spoken recording,transcripts/audio/11 - Quran Study From Behrouz 111 Sura 23_60 88 & Sura 16 01 18 199001 23 1990 Morning Before 01 31 19.csv,816,canonical_transcript,original transcript unchanged
video-transcript,video-11,45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,,Dr. Khalifa:295 | blank:165 | Susan:34 | Edip:23 | Sophie:17 | Christie:13 | A Man:4 | Raymond:2 | Ismail:2 | Cecilia:2 | Christina:1 | A Woman:1 | Raymon:1 | People:1,spoken recording,transcripts/video/11 - United Submitters International Conference Final Speech by Dr. Rashad Khalifa (1989).csv,561,canonical_transcript,original transcript unchanged
video-transcript,video-12,46 City Council al fateha Recitation by Rashad Khalifa,,blank:16,spoken recording,transcripts/video/12 - City Council Al-Fatiha Recitation by Dr. Rashad Khalifa.csv,16,canonical_transcript,original transcript unchanged
audio-transcript,audio-12,12 Quran Study From Behrouz 212 Behrouz's Khutba Edip  Yuksel's Exposure 01 25 1990,,Dr. Khalifa:353 | Behrouz:282 | Edip:203 | Dr. Sabahi:93 | Apamea:39 | A woman:32 | Ali:25 | Dr. Masoud:23 | Douglas:23 | Audience:22 | A man:20 | Laurie:19 | Martha:12 | Mahmoud Abib:6 | Linda:5 | Ahmad:5 | Susan:1,spoken recording,transcripts/audio/12 - Quran Study From Behrouz 212 Behrouz_s Khutba Edip Yuksel_s Exposure 01 25 1990.csv,1163,canonical_transcript,original transcript unchanged
video-transcript,video-13,47 Excerpts From a Radio Debate With dr Rashad Khalifa,,blank:39,spoken recording,transcripts/video/13 - Excerpts From a Radio Debate With Dr. Rashad Khalifa.csv,39,canonical_transcript,original transcript unchanged
audio-transcript,audio-13,13 Quran Study From Behrouz 313 Sura 7;12 By Rashad Adam & Eve's Body 12 24 1989,,Dr. Khalifa:726 | Atif:289 | A man:99 | Ihsan:81 | Edip:62 | A woman:54 | Parivash:21 | Mahmoud Abib:6 | Cecilia:4 | Audience:2 | Feroz:1,spoken recording,transcripts/audio/13 - Quran Study From Behrouz 313 Sura 7_12 By Rashad Adam & Eve_s Body 12 24 1989.csv,1345,canonical_transcript,original transcript unchanged
audio-transcript,audio-14,14 Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad,,Dr. Khalifa:208 | A woman:1 | A man:1,spoken recording,transcripts/audio/14 - Quran Study From Behrouz 414 Night Of Destiny Zikr By Rashad.csv,210,canonical_transcript,original transcript unchanged
video-transcript,video-14,48 World News Bulletin,,blank:60,spoken recording,transcripts/video/14 - World News Bulletin.csv,60,canonical_transcript,original transcript unchanged
audio-transcript,audio-15,15 Quran Study From Behrouz 515 Sura 54;23 By Rashad Sura 55 & Sura 56 & Sura 51 Age  40 & First Gen,,Dr. Khalifa:913 | A woman:87 | Lisa:54 | Martha:33 | Laurie:28 | Lori:21 | A man:14 | Lydia:9 | Robert:6 | Douglas:4 | Mahmoud Abib:2 | Atif:2 | Muhteshem:2 | Catherine:2,spoken recording,transcripts/audio/15 - Quran Study From Behrouz 515 Sura 54_23 By Rashad Sura 55 & Sura 56 & Sura 51 Age 40 & First Gen.csv,1177,canonical_transcript,original transcript unchanged
video-transcript,video-15,49 The Creators Signature,,blank:222,spoken recording,transcripts/video/15 - The Creators Signature.csv,222,canonical_transcript,original transcript unchanged
video-transcript,video-16,04 Essentials of Submission Islam,,blank:455,spoken recording,transcripts/video/16 - Essentials of Submission (Islam).csv,455,canonical_transcript,original transcript unchanged
audio-transcript,audio-16,16 Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast,,Dr. Khalifa:526 | Edip:147 | A woman:15 | A man:9 | Martha:7 | Parivash:4 | Farhad:2 | A person:1 | Dr. Sabahi:1,spoken recording,transcripts/audio/16 - Quran Study From Behrouz 616 Sura 64 By Rashad Nothing Happens Except Sura 70 By Edip Worry Chast.csv,712,canonical_transcript,original transcript unchanged
video-transcript,video-17,05 Principles of Contact Prayers Salat,,blank:797,spoken recording,transcripts/video/17 - Principles of Contact Prayers Salat.csv,797,canonical_transcript,original transcript unchanged
audio-transcript,audio-17,17 Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7,,Dr. Khalifa:818 | Edip:161 | A man:37 | Dr. Sabahi:32 | A woman:23 | Matt:6 | Lydia:5 | blank:3 | Muhteshem:2 | Catherine:1,spoken recording,transcripts/audio/17 - Quran Study From Behrouz 717 Sura 90 & Sura 91 By Rashad Sura 82 & Sura 83 By Edip 07 21 1989No 7.csv,1088,canonical_transcript,original transcript unchanged
video-transcript,video-18,06 Principles of Friday Prayer,,blank:539,spoken recording,transcripts/video/18 - Principles of Friday Prayer.csv,539,canonical_transcript,original transcript unchanged
audio-transcript,audio-18,18 Quran Study From Behrouz 818 Sura 61 & Sura 87 & Sura 94 By Rashad Sura 81 By Edip No 8,,Dr. Khalifa:622 | A man:261 | Edip:106 | A woman:20 | Douglas:17 | John:4 | Abdullah:4 | Robert:3 | Dr. Sabahi:3 | Phillip:1 | Catherine:1 | Emily:1 | Beth:1 | Ismail Barakat:1,spoken recording,transcripts/audio/18 - Quran Study From Behrouz 818 Sura 61 & Sura 87 & Sura 94 By Rashad Sura 81 By Edip No 8.csv,1045,canonical_transcript,original transcript unchanged
video-transcript,video-19,Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,,blank:787,spoken recording,transcripts/video/19 - Arabic Language Lessons By Dr. Rashad Khalifa.csv,787,canonical_transcript,original transcript unchanged
audio-transcript,audio-19,19 Quran Study From Behrouz 919 Sura 2;89 119 Witchcraft Reverting Intro To Blue Quran No 13,,Dr. Khalifa:766 | A man:66 | Edip:42 | A woman:21 | Cisco:6 | Douglas:5 | Naghmeh:1,spoken recording,transcripts/audio/19 - Quran Study From Behrouz 919 Sura 2_89 119 Witchcraft Reverting Intro To Blue Quran No 13.csv,907,canonical_transcript,original transcript unchanged
video-transcript,video-20,12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,,blank:341,spoken recording,transcripts/video/20 - Friday Sermon Knowing GOD GOD is Doing Everything (06-05-1987).csv,341,canonical_transcript,original transcript unchanged
audio-transcript,audio-20,20 Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry,,Dr. Sabahi:300 | Dr. Khalifa:218 | Edip:81 | A man:23 | Douglas:14 | Farhad:14 | Martha:11 | Behrouz:6 | Lydia:1,spoken recording,transcripts/audio/20 - Quran Study From Behrouz 1020 Sura 3 By M Sabahi Insurance Fear Worry.csv,668,canonical_transcript,original transcript unchanged
video-transcript,video-21,13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,,blank:429,spoken recording,"transcripts/video/21 - Friday Sermon GOD is Doing Everything, Rearranging Our Priorities (07-1987 No. 2).csv",429,canonical_transcript,original transcript unchanged
audio-transcript,audio-21,21 Quran Study From Behrouz 1121 Sura 9;52 By Rashad The Hypocrites Apology To Parivash Sura 56;75 B,,Dr. Khalifa:231 | Lisa:112 | Parivash:2 | Naghmeh:1,spoken recording,transcripts/audio/21 - Quran Study From Behrouz 1121 Sura 9_52 By Rashad The Hypocrites Apology To Parivash Sura 56_75 B.csv,346,canonical_transcript,original transcript unchanged
video-transcript,video-22,14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,,blank:278,spoken recording,"transcripts/video/22 - Friday Sermon Quran vs Bible Code, End of the World Revealed 2280AD (07-1987).csv",278,canonical_transcript,original transcript unchanged
audio-transcript,audio-22,22 Quran Study From Behrouz 1222 Sura 39;11 By Rashad Admission Test I Don't Compromise With A Littl,,Dr. Khalifa:709 | A woman:73 | A man:70 | Parivash:22 | Behrouz:4 | A child:3 | Roxana:1 | Edip:1,spoken recording,transcripts/audio/22 - Quran Study From Behrouz 1222 Sura 39_11 By Rashad Admission Test I Don_t Compromise With A Littl.csv,883,canonical_transcript,original transcript unchanged
video-transcript,video-23,15 Friday Sermon by dr Rashad Khalifa Universal Unity Through Devotion to GOD Alone GOD is Close to,,blank:286,spoken recording,transcripts/video/23 - Friday Sermon Universal Unity Through Devotion to GOD Alone.csv,286,canonical_transcript,original transcript unchanged
audio-transcript,audio-23,23 Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &,,Douglas:336 | Dr. Khalifa:268 | A woman:37 | Martha:19 | Babak:18 | Dr. Sabahi:10 | Catherine:5 | A man:5 | Edip:1,spoken recording,transcripts/audio/23 - Quran Study From Behrouz 1323 Sura 51 By Douglas New Era Believers Are Protected From Accidents &.csv,699,canonical_transcript,original transcript unchanged
video-transcript,video-24,16 Friday Sermon by dr Rashad Khalifa the Mathematical Miracle Proves the Quran to be the Word of GO,,blank:318,spoken recording,transcripts/video/24 - Friday Sermon The Mathematical Miracle Proves the Quran to be the Word of GOD (10-16-1987).csv,318,canonical_transcript,original transcript unchanged
audio-transcript,audio-24,24 Quran Study From Behrouz 1424 Sura 55 By Lori Alfatehe Sura 56 By Naghmeh,,Dr. Khalifa:486 | Naghmeh:265 | Laurie:136 | A woman:105 | Lori:67 | A man:25 | Muhteshem:12 | Dr. Sabahi:5 | Audience:1 | Lisa:1,spoken recording,transcripts/audio/24 - Quran Study From Behrouz 1424 Sura 55 By Lori Alfatehe Sura 56 By Naghmeh.csv,1103,canonical_transcript,original transcript unchanged
video-transcript,video-25,17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,,blank:261,spoken recording,"transcripts/video/25 - Friday Sermon Evidence is Increasing, This Life is a School for the Eternal Life (11-1987).csv",261,canonical_transcript,original transcript unchanged
audio-transcript,audio-25,25 Quran Study From Behrouz 1525 Sura 58 By Robert,,Dr. Khalifa:318 | Robert:179 | Keikhosrow Emami:104 | A man:33 | A woman:24 | Abdullah:22 | Douglas:4 | Dr. Sabahi:3 | Behrouz:1,spoken recording,transcripts/audio/25 - Quran Study From Behrouz 1525 Sura 58 By Robert.csv,688,canonical_transcript,original transcript unchanged
video-transcript,video-26,18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,,blank:140,spoken recording,transcripts/video/26 - Friday Sermon Quran is the Only Book in the World That is Mathematically Composed (11-1987).csv,140,canonical_transcript,original transcript unchanged
audio-transcript,audio-26,26 Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad,,Gatut:274 | Dr. Khalifa:111 | Hamid:89 | Robert:44 | Mahmoud:25 | Ali:16 | Douglas:13 | Hussein:12 | Jester:6 | A woman:1,spoken recording,transcripts/audio/26 - Quran Study From Behrouz 1626 Sura 67 By Gatut Hamid Argues With Rashad.csv,591,canonical_transcript,original transcript unchanged
video-transcript,video-27,19 Friday Sermon by dr Rashad Khalifa More Evidence There is Meaning in Relations Between Numbers 19,,blank:201,spoken recording,transcripts/video/27 - Friday Sermon More Evidence - Memorize This Supplication For Divine Protection (11-1987).csv,201,canonical_transcript,original transcript unchanged
audio-transcript,audio-27,27 Quran Study From Behrouz 1727 Sura 14;19 Chastity Premarital Pregnancy Sura 17;47 We Are Allowed,,Dr. Khalifa:749 | A woman:146 | A man:90 | Eric:77 | Parivash:15 | Azar:14 | Edip:14 | Mr. Azarshahr:12 | Behrouz:6 | Feroz:3 | A child:1,spoken recording,transcripts/audio/27 - Quran Study From Behrouz 1727 Sura 14_19 Chastity Premarital Pregnancy Sura 17_47 We Are Allowed.csv,1127,canonical_transcript,original transcript unchanged
video-transcript,video-28,20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,,blank:191,spoken recording,"transcripts/video/28 - Friday Sermon The Muhammadans Worship Muhammad, Discoveries by Atef and Lisa (12-04-1987).csv",191,canonical_transcript,original transcript unchanged
audio-transcript,audio-28,28 Quran Study From Parivash 128 Sura 45;33 Parivash's Home 19 Math,,Dr. Khalifa:502 | A woman:102 | A man:72 | Edip:19 | Parivash:14 | Behrouz:1 | Feroz:1,spoken recording,transcripts/audio/28 - Quran Study From Parivash 128 Sura 45_33 Parivash_s Home 19 Math.csv,711,canonical_transcript,original transcript unchanged
video-transcript,video-29,21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,,blank:346,spoken recording,"transcripts/video/29 - Friday Sermon The Power of Repentance, The Secret of Happiness (01-01-1988).csv",346,canonical_transcript,original transcript unchanged
audio-transcript,audio-29,29 Quran Study From Parivash 229 Mehri's Questions Admission Test & Final Test Tucson 1985,,Dr. Khalifa:791 | A woman:217 | Parivash:19 | Susan:2,spoken recording,transcripts/audio/29 - Quran Study From Parivash 229 Mehri_s Questions Admission Test & Final Test Tucson 1985.csv,1029,canonical_transcript,original transcript unchanged
video-transcript,video-30,22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,,blank:297,spoken recording,"transcripts/video/30 - Friday Sermon GOD is Doing Everything, Story About Ahmed Subhy Mansour (1-22-1988).csv",297,canonical_transcript,original transcript unchanged
audio-transcript,audio-30,30 Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45;33 Rashad Was Told To,,Dr. Khalifa:839 | A woman:65 | A man:61 | Edip:30 | Parivash:27 | Feroz:15 | Vicky:9 | Behrouz:7 | Susan:1 | Iron:1,spoken recording,transcripts/audio/30 - Quran Study From Parivash 330 Sura 28 & Sura 57 Insurance With GOD Sura 45_33 Rashad Was Told To.csv,1055,canonical_transcript,original transcript unchanged
video-transcript,video-31,23 Friday Sermon by dr Rashad Khalifa Our Purpose GOD's Kingdom vs Satan's Kingdom Abraham's Dream 1,,blank:309,spoken recording,"transcripts/video/31 - Friday Sermon Our Purpose, GOD's Kingdom vs Satan's Kingdom, Abraham's Dream (03-04-1988)(1).csv",309,canonical_transcript,original transcript unchanged
audio-transcript,audio-31,31 Quran Study From Parivash 431 Sura 18;98 & Sura 81 Edip Azan & Salat By Rashad 11 04 1989,,Dr. Khalifa:593 | Edip:126 | A man:44 | A woman:41 | Behrouz:15 | Douglas:14 | Parivash:13 | Feroz:4 | Abdullah:4 | blank:2 | Ismail Barakat:2 | Laila:1 | Emily:1 | Lisa:1,spoken recording,transcripts/audio/31 - Quran Study From Parivash 431 Sura 18_98 & Sura 81 Edip Azan & Salat By Rashad 11 04 1989.csv,861,canonical_transcript,original transcript unchanged
