pdf_page,printed_page,segment,bbox_normalized,raw_ocr,normalized_text,quran_reference,match_score,ocr_confidence,status
123,,1,"[0.206959, 0.391433, 0.646071, 0.403308]",41-3 امس سمه‎ 17 1,41-3 امس سمه‎ 17 1,,0,50.49,ocr_unverified_arabic
125,111,1,"[0.191362, 0.116624, 0.778044, 0.129771]",902666667 L لمكم عمممة مممممم ممت‎,902666667 L لمكم عمممة مممممم ممت‎,,0,28.32,ocr_unverified_arabic
130,116,1,"[0.209958, 0.635284, 0.778044, 0.658185]",تالاه‎ 20 62 111,تالاه‎ 20 62 111,,0,61.4,ocr_unverified_arabic
131,117,1,"[0.189562, 0.326972, 0.788842, 0.347328]",524636364 10111 1*0 الفووةظ‎,524636364 10111 1*0 الفووةظ‎,,0,42.86,ocr_unverified_arabic
143,,1,"[0.206959, 0.135708, 0.775045, 0.156489]",10-¢870276 xLII ا ص اه حم اه اه هات نه 5 5 ووووووهه‎ 5-5,10-¢870276 xLII ا ص اه حم اه اه هات نه 5 5 ووووووهه‎ 5-5,,0,40.07,ocr_unverified_arabic
144,130,1,"[0.205159, 0.13274, 0.806239, 0.156913]",153 Liv ومممممممهة اممممام ممه‎,153 Liv ومممممممهة اممممام ممه‎,,0,43.45,ocr_unverified_arabic
150,136,1,"[0.657469, 0.394826, 0.684463, 0.559796]","تدوو حاة حن
حاحاني م و وهو","تدوو حاة حن
حاحاني م و وهو",,0,46.705,ocr_unverified_arabic
159,145,1,"[0.139772, 0.673452, 0.238152, 0.690416]",'8 لاسرال‎ 11-,'8 لاسرال‎ 11-,,0,65.83,ocr_unverified_arabic
161,147,1,"[0.128374, 0.608567, 0.595681, 0.624682]","40 +0, '8 ناسنال‎ 41-","40 +0, '8 ناسنال‎ 41-",,0,69.43,ocr_unverified_arabic
174,,1,"[0.160168, 0.556828, 0.835033, 0.578032]","بلباج , 0+ مشاه‎ 111-11","بلباج , 0+ مشاه‎ 111-11",,0,56.46,ocr_unverified_arabic
184,170,1,"[0.172166, 0.168363, 0.793041, 0.179813]",19646755 XL ممه ممم ممه ممعم ممممه‎,19646755 XL ممه ممم ممه ممعم ممممه‎,,0,13.37,ocr_unverified_arabic
