pdf_page,printed_page,segment,bbox_normalized,raw_ocr,normalized_text,quran_reference,match_score,ocr_confidence,status
2,,1,"[0.05, 0.05, 0.95, 0.95]",بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم,1:1,100,100,canonical_quran_match
2,,2,"[0.05, 0.05, 0.95, 0.95]",قل لئن اجتمعت الإنس والجن على أن يأتوا بمثل هذا القرآن لا يأتون بمثله ولو كان بعضهم لبعض ظهيرا,قل لئن اجتمعت الإنس والجن على أن يأتوا بمثل هذا القرآن لا يأتون بمثله ولو كان بعضهم لبعض ظهيرا,17:88,100,100,canonical_quran_match
