xml:id	ref	role	class	type	english	mandarin	gloss	text	after	lemma	normalized	strong	morph	person	number	gender	case	tense	voice	mood	degree	domain	ln	frame	subjref	referent
n43017004009	JHN 17:4!9	v	verb		completing	完成	having completed	τελειώσας	 	τελειόω	τελειώσας	5048	V-AAP-NSM		singular	masculine	nominative	aorist	active	participle		068003	68.22	A0:n43017001003 A1:n43017004008	n43017001003	
n43017004010	JHN 17:4!10	o	pron	relative	that		that	ὃ	 	ὅς	ὃ	3739	R-ASN		singular	neuter	accusative					092006	92.27			n43017004008
n43017004011	JHN 17:4!11	v	verb		gave	交给	You have given	δέδωκάς	 	δίδωμι	δέδωκάς	1325	V-RAI-2S	second	singular			perfect	active	indicative		090012	90.51	A0:n43017003013 A1:n43017004010 A2:n43017004012	n43017003013	
n43017004012	JHN 17:4!12	io	pron	personal	me	我	Me	μοι	 	ἐγώ	μοι	3427	P-1DS		singular		dative					092001	92.1			n43017001003
n43017004013	JHN 17:4!13		adv		to	要	that	ἵνα	 	ἵνα	ἵνα	2443	CONJ									089009	89.59			
n43017004014	JHN 17:4!14	v	verb		do	做	I should do	ποιήσω	·	ποιέω	ποιήσω	4160	V-AAS-1S	first	singular			aorist	active	subjunctive		042002	42.7	A0:n43017001003	n43017001003	
n43017005001	JHN 17:5!1		conj		and	所以	And	καὶ	 	καί	καὶ	2532	CONJ													
n43017005002	JHN 17:5!2	adv	adv		now	现在	now	νῦν	 	νῦν	νῦν	3568	ADV									067002	67.38			
n43017005003	JHN 17:5!3	v	verb		glorify	荣耀	glorify	δόξασόν	 	δοξάζω	δόξασόν	1392	V-AAM-2S	second	singular			aorist	active	imperative		087003	87.24	A1:n43017005004 A0:n43017005005		
n43017005004	JHN 17:5!4	o	pron	personal	me	我	Me	με	 	ἐγώ	με	3165	P-1AS		singular		accusative					092001	92.1			n43017001003
n43017005005	JHN 17:5!5	s	pron	personal	you	你	You	σύ	,	σύ	σύ	4771	P-2NS		singular		nominative					092003	92.6			n43017005006
