xml:id	ref	role	class	type	english	mandarin	gloss	text	after	lemma	normalized	strong	morph	person	number	gender	case	tense	voice	mood	degree	domain	ln	frame	subjref	referent
n40001001001	MAT 1:1!1		noun	common	book	谱	[The] book	Βίβλος	 	βίβλος	Βίβλος	976	N-NSF		singular	feminine	nominative					033005	33.38			
n40001001002	MAT 1:1!2		noun	common	genealogy	族	of [the] genealogy	γενέσεως	 	γένεσις	γενέσεως	1078	N-GSF		singular	feminine	genitive					010002 033003	10.24 33.19			
n40001001003	MAT 1:1!3		noun	proper	Jesus	耶稣	of Jesus	Ἰησοῦ	 	Ἰησοῦς	Ἰησοῦ	2424	N-GSM		singular	masculine	genitive					093001	93.169a			
n40001001004	MAT 1:1!4		noun	proper	Christ	基督	Christ	χριστοῦ	 	Χριστός	χριστοῦ	5547	N-GSM		singular	masculine	genitive					093001	93.387			
n40001001005	MAT 1:1!5		noun	common	son	子孙	son	υἱοῦ	 	υἱός	υἱοῦ	5207	N-GSM		singular	masculine	genitive					010002	10.30			
n40001001006	MAT 1:1!6		noun	proper	David	大卫	of David	Δαυὶδ	 	Δαυίδ	Δαυὶδ	1138	N-PRI		singular	masculine	genitive					093001	93.91			
n40001001007	MAT 1:1!7		noun	common	son	后裔	son	υἱοῦ	 	υἱός	υἱοῦ	5207	N-GSM		singular	masculine	genitive					010002	10.30			
n40001001008	MAT 1:1!8		noun	proper	Abraham	亚伯拉罕	of Abraham	Ἀβραάμ	.	Ἀβραάμ	Ἀβραάμ	11	N-PRI		singular	masculine	genitive					093001	93.7			
n40001002001	MAT 1:2!1	s	noun	proper	Abraham	亚伯拉罕	Abraham	Ἀβραὰμ	 	Ἀβραάμ	Ἀβραὰμ	11	N-PRI		singular	masculine	nominative					093001	93.7			
n40001002002	MAT 1:2!2	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001002001 A1:n40001002004		
n40001002003	MAT 1:2!3		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001002004	MAT 1:2!4		noun	proper	Isaac	以撒	Isaac	Ἰσαάκ	,	Ἰσαάκ	Ἰσαάκ	2464	N-PRI		singular	masculine	accusative					093001	93.180			
n40001002005	MAT 1:2!5	s	noun	proper	Isaac	以撒	Isaac	Ἰσαὰκ	 	Ἰσαάκ	Ἰσαὰκ	2464	N-PRI		singular	masculine	nominative					093001	93.180			
n40001002006	MAT 1:2!6		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001002007	MAT 1:2!7	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001002005 A1:n40001002009		
n40001002008	MAT 1:2!8		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001002009	MAT 1:2!9		noun	proper	Jacob	雅各	Jacob	Ἰακώβ	,	Ἰακώβ	Ἰακώβ	2384	N-PRI		singular	masculine	accusative					093001	93.157a			
n40001002010	MAT 1:2!10	s	noun	proper	Jacob	雅各	Jacob	Ἰακὼβ	 	Ἰακώβ	Ἰακὼβ	2384	N-PRI		singular	masculine	nominative					093001	93.157a			
n40001002011	MAT 1:2!11		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001002012	MAT 1:2!12	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001002010 A1:n40001002014;n40001002017		
n40001002013	MAT 1:2!13		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001002014	MAT 1:2!14		noun	proper	Judah	犹大	Judah	Ἰούδαν	 	Ἰούδας	Ἰούδαν	2455	N-ASM		singular	masculine	accusative					093001	93.173h			
n40001002015	MAT 1:2!15		conj		and	和	and	καὶ	 	καί	καὶ	2532	CONJ									089017	89.92			
n40001002016	MAT 1:2!16		det		the		the	τοὺς	 	ὁ	τοὺς	3588	T-APM		plural	masculine	accusative					092004	92.24			
n40001002017	MAT 1:2!17		noun	common	brothers	兄弟	brothers	ἀδελφοὺς	 	ἀδελφός	ἀδελφοὺς	80	N-APM		plural	masculine	accusative					010003	10.49			
n40001002018	MAT 1:2!18		pron	personal	his	他	of him	αὐτοῦ	,	αὐτός	αὐτοῦ	846	P-GSM		singular	masculine	genitive					092004	92.11			n40001002014
n40001003001	MAT 1:3!1	s	noun	proper	Judah	犹大	Judah	Ἰούδας	 	Ἰούδας	Ἰούδας	2455	N-NSM		singular	masculine	nominative					093001	93.173h			
n40001003002	MAT 1:3!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001003003	MAT 1:3!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001003001 A1:n40001003005;n40001003008		
n40001003004	MAT 1:3!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001003005	MAT 1:3!5		noun	proper	Perez	法勒斯	Perez	Φαρὲς	 	Φαρές	Φαρὲς	5329	N-PRI		singular	masculine	accusative					093001	93.374			
n40001003006	MAT 1:3!6		conj		and	和	and	καὶ	 	καί	καὶ	2532	CONJ									089017	89.92			
n40001003007	MAT 1:3!7		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001003008	MAT 1:3!8		noun	proper	Zerah	谢拉	Zerah	Ζάρα	 	Ζάρα	Ζάρα	2196	N-PRI		singular	masculine	accusative					093001	93.135			
n40001003009	MAT 1:3!9		prep		by	从	out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089003	89.3			
n40001003010	MAT 1:3!10		det				-	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001003011	MAT 1:3!11		noun	proper	Tamar	她玛	Tamar	Θαμάρ	,	Θαμάρ	Θαμάρ	2283	N-PRI		singular	feminine	genitive					093001	93.151			
n40001003012	MAT 1:3!12	s	noun	proper	Perez	法勒斯	Perez	Φαρὲς	 	Φαρές	Φαρὲς	5329	N-PRI		singular	masculine	nominative					093001	93.374			
n40001003013	MAT 1:3!13		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001003014	MAT 1:3!14	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001003012 A1:n40001003016		
n40001003015	MAT 1:3!15		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001003016	MAT 1:3!16		noun	proper	Hezron	希斯仑	Hezron	Ἑσρώμ	,	Ἑσρώμ	Ἑσρώμ	2074	N-PRI		singular	masculine	accusative					093001	93.127			
n40001003017	MAT 1:3!17	s	noun	proper	Hezron	希斯仑	Hezron	Ἑσρὼμ	 	Ἑσρώμ	Ἑσρὼμ	2074	N-PRI		singular	masculine	nominative					093001	93.127			
n40001003018	MAT 1:3!18		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001003019	MAT 1:3!19	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001003017 A1:n40001003021		
n40001003020	MAT 1:3!20		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001003021	MAT 1:3!21		noun	proper	Ram	亚兰	Ram	Ἀράμ	,	Ἀράμ	Ἀράμ	689	N-PRI		singular	masculine	accusative					093001	93.35			
n40001004001	MAT 1:4!1	s	noun	proper	Ram	亚兰	Ram	Ἀρὰμ	 	Ἀράμ	Ἀρὰμ	689	N-PRI		singular	masculine	nominative					093001	93.35			
n40001004002	MAT 1:4!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001004003	MAT 1:4!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001004001 A1:n40001004005		
n40001004004	MAT 1:4!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001004005	MAT 1:4!5		noun	proper	Amminadab	亚米拿达	Amminadab	Ἀμιναδάβ	,	Ἀμιναδάβ	Ἀμιναδάβ	284	N-PRI		singular	masculine	accusative					093001	93.20			
n40001004006	MAT 1:4!6	s	noun	proper	Amminadab	亚米拿达	Amminadab	Ἀμιναδὰβ	 	Ἀμιναδάβ	Ἀμιναδὰβ	284	N-PRI		singular	masculine	nominative					093001	93.20			
n40001004007	MAT 1:4!7		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001004008	MAT 1:4!8	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001004006 A1:n40001004010		
n40001004009	MAT 1:4!9		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001004010	MAT 1:4!10		noun	proper	Nahshon	拿顺	Nahshon	Ναασσών	,	Ναασσών	Ναασσών	3476	N-PRI		singular	masculine	accusative					093001	93.267			
n40001004011	MAT 1:4!11	s	noun	proper	Nahshon	拿顺	Nahshon	Ναασσὼν	 	Ναασσών	Ναασσὼν	3476	N-PRI		singular	masculine	nominative					093001	93.267			
n40001004012	MAT 1:4!12		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001004013	MAT 1:4!13	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001004011 A1:n40001004015		
n40001004014	MAT 1:4!14		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001004015	MAT 1:4!15		noun	proper	Salmon	撒门	Salmon	Σαλμών	,	Σαλμών	Σαλμών	4533	N-PRI		singular	masculine	accusative					093001	93.323			
n40001005001	MAT 1:5!1	s	noun	proper	Salmon	撒门	Salmon	Σαλμὼν	 	Σαλμών	Σαλμὼν	4533	N-PRI		singular	masculine	nominative					093001	93.323			
n40001005002	MAT 1:5!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001005003	MAT 1:5!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001005001 A1:n40001005005		
n40001005004	MAT 1:5!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001005005	MAT 1:5!5		noun	proper	Boaz	波阿斯	Boaz	Βόες	 	Βόες	Βόες	1003	N-PRI		singular	masculine	accusative					093001	93.78			
n40001005006	MAT 1:5!6		prep		by	从	out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089003	89.3			
n40001005007	MAT 1:5!7		det				-	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001005008	MAT 1:5!8		noun	proper	Rahab	喇合	Rahab	Ῥαχάβ	,	Ῥαχάβ	Ῥαχάβ	4477	N-PRI		singular	feminine	genitive					093001	93.309			
n40001005009	MAT 1:5!9	s	noun	proper	Boaz	波阿斯	Boaz	Βόες	 	Βόες	Βόες	1003	N-PRI		singular	masculine	nominative					093001	93.78			
n40001005010	MAT 1:5!10		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001005011	MAT 1:5!11	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001005009 A1:n40001005013		
n40001005012	MAT 1:5!12		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001005013	MAT 1:5!13		noun	proper	Obed	俄备得	Obed	Ἰωβὴδ	 	Ἰωβήδ	Ἰωβὴδ	5601	N-PRI		singular	masculine	accusative					093001	93.192			
n40001005014	MAT 1:5!14		prep		by	从	out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089003	89.3			
n40001005015	MAT 1:5!15		det				-	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001005016	MAT 1:5!16		noun	proper	Ruth	路得	Ruth	Ῥούθ	,	Ῥούθ	Ῥούθ	4503	N-PRI		singular	feminine	genitive					093001	93.316			
n40001005017	MAT 1:5!17	s	noun	proper	Obed	俄备得	Obed	Ἰωβὴδ	 	Ἰωβήδ	Ἰωβὴδ	5601	N-PRI		singular	masculine	nominative					093001	93.192			
n40001005018	MAT 1:5!18		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001005019	MAT 1:5!19	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001005017 A1:n40001005021		
n40001005020	MAT 1:5!20		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001005021	MAT 1:5!21		noun	proper	Jesse	耶西	Jesse	Ἰεσσαί	,	Ἰεσσαί	Ἰεσσαί	2421	N-PRI		singular	masculine	accusative					093001	93.166			
n40001006001	MAT 1:6!1	s	noun	proper	Jesse	耶西	Jesse	Ἰεσσαὶ	 	Ἰεσσαί	Ἰεσσαὶ	2421	N-PRI		singular	masculine	nominative					093001	93.166			
n40001006002	MAT 1:6!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001006003	MAT 1:6!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001006001 A1:n40001006005		
n40001006004	MAT 1:6!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001006005	MAT 1:6!5		noun	proper	David	大卫	David	Δαυὶδ	 	Δαυίδ	Δαυὶδ	1138	N-PRI		singular	masculine	accusative					093001	93.91			
n40001006006	MAT 1:6!6		det		the		the	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001006007	MAT 1:6!7		noun	common	king	王	king	βασιλέα	.	βασιλεύς	βασιλέα	935	N-ASM		singular	masculine	accusative					037004	37.67			
n40001006008	MAT 1:6!8	s	noun	proper	David	大卫	David	Δαυὶδ	 	Δαυίδ	Δαυὶδ	1138	N-PRI		singular	masculine	nominative					093001	93.91			
n40001006009	MAT 1:6!9		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001006010	MAT 1:6!10	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001006008 A1:n40001006012		
n40001006011	MAT 1:6!11		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001006012	MAT 1:6!12		noun	proper	Solomon	所罗门	Solomon	Σολομῶνα	 	Σολομών	Σολομῶνα	4672	N-ASM		singular	masculine	accusative					093001	93.344			
n40001006013	MAT 1:6!13		prep		by	从	out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089003	89.3			
n40001006014	MAT 1:6!14		det		the	[妻]	the [wife]	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001006015	MAT 1:6!15		det		the		-	τοῦ	 	ὁ	τοῦ	3588	T-GSM		singular	masculine	genitive					092004	92.24			
n40001006016	MAT 1:6!16		noun	proper	Uriah	乌利亚	of Uriah	Οὐρίου	,	Οὐρίας	Οὐρίου	3774	N-GSM		singular	masculine	genitive					093001	93.291			
n40001007001	MAT 1:7!1	s	noun	proper	Solomon	所罗门	Solomon	Σολομὼν	 	Σολομών	Σολομὼν	4672	N-NSM		singular	masculine	nominative					093001	93.344			
n40001007002	MAT 1:7!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001007003	MAT 1:7!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001007001 A1:n40001007005		
n40001007004	MAT 1:7!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001007005	MAT 1:7!5		noun	proper	Rehoboam	罗波安	Rehoboam	Ῥοβοάμ	,	Ῥοβοάμ	Ῥοβοάμ	4497	N-PRI		singular	masculine	accusative					093001	93.313			
n40001007006	MAT 1:7!6	s	noun	proper	Rehoboam	罗波安	Rehoboam	Ῥοβοὰμ	 	Ῥοβοάμ	Ῥοβοὰμ	4497	N-PRI		singular	masculine	nominative					093001	93.313			
n40001007007	MAT 1:7!7		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001007008	MAT 1:7!8	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001007006 A1:n40001007010		
n40001007009	MAT 1:7!9		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001007010	MAT 1:7!10		noun	proper	Abijah	亚比雅	Abijah	Ἀβιά	,	Ἀβιά	Ἀβιά	7	N-PRI		singular	masculine	accusative					093001	93.4a			
n40001007011	MAT 1:7!11	s	noun	proper	Abijah	亚比雅	Abijah	Ἀβιὰ	 	Ἀβιά	Ἀβιὰ	7	N-PRI		singular	masculine	nominative					093001	93.4a			
n40001007012	MAT 1:7!12		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001007013	MAT 1:7!13	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001007011 A1:n40001007015		
n40001007014	MAT 1:7!14		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001007015	MAT 1:7!15		noun	proper	Asa	亚撒	Asa	Ἀσάφ	,	Ἀσάφ	Ἀσάφ	760	N-PRI		singular	masculine	accusative					093001	93.48			
n40001008001	MAT 1:8!1	s	noun	proper	Asa	亚撒	Asa	Ἀσὰφ	 	Ἀσάφ	Ἀσὰφ	760	N-PRI		singular	masculine	nominative					093001	93.48			
n40001008002	MAT 1:8!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001008003	MAT 1:8!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001008001 A1:n40001008005		
n40001008004	MAT 1:8!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001008005	MAT 1:8!5		noun	proper	Jehoshaphat	约沙法	Jehoshaphat	Ἰωσαφάτ	,	Ἰωσαφάτ	Ἰωσαφάτ	2498	N-PRI		singular	masculine	accusative					093001	93.200			
n40001008006	MAT 1:8!6	s	noun	proper	Jehoshaphat	约沙法	Jehoshaphat	Ἰωσαφὰτ	 	Ἰωσαφάτ	Ἰωσαφὰτ	2498	N-PRI		singular	masculine	nominative					093001	93.200			
n40001008007	MAT 1:8!7		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001008008	MAT 1:8!8	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001008006 A1:n40001008010		
n40001008009	MAT 1:8!9		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001008010	MAT 1:8!10		noun	proper	Joram	约兰	Joram	Ἰωράμ	,	Ἰωράμ	Ἰωράμ	2496	N-PRI		singular	masculine	accusative					093001	93.198			
n40001008011	MAT 1:8!11	s	noun	proper	Joram	约兰	Joram	Ἰωρὰμ	 	Ἰωράμ	Ἰωρὰμ	2496	N-PRI		singular	masculine	nominative					093001	93.198			
n40001008012	MAT 1:8!12		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001008013	MAT 1:8!13	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001008011 A1:n40001008015		
n40001008014	MAT 1:8!14		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001008015	MAT 1:8!15		noun	proper	Uzziah	乌西亚	Uzziah	Ὀζίαν	,	Ὀζίας	Ὀζίαν	3604	N-ASM		singular	masculine	accusative					093001	93.286			
n40001009001	MAT 1:9!1	s	noun	proper	Uzziah	乌西亚	Uzziah	Ὀζίας	 	Ὀζίας	Ὀζίας	3604	N-NSM		singular	masculine	nominative					093001	93.286			
n40001009002	MAT 1:9!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001009003	MAT 1:9!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001009001 A1:n40001009005		
n40001009004	MAT 1:9!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001009005	MAT 1:9!5		noun	proper	Jotham	约坦	Jotham	Ἰωαθάμ	,	Ἰωαθάμ	Ἰωαθάμ	2488	N-PRI		singular	masculine	accusative					093001	93.185			
n40001009006	MAT 1:9!6	s	noun	proper	Jotham	约坦	Jotham	Ἰωαθὰμ	 	Ἰωαθάμ	Ἰωαθὰμ	2488	N-PRI		singular	masculine	nominative					093001	93.185			
n40001009007	MAT 1:9!7		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001009008	MAT 1:9!8	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001009006 A1:n40001009010		
n40001009009	MAT 1:9!9		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001009010	MAT 1:9!10		noun	proper	Ahaz	亚哈斯	Ahaz	Ἀχάζ	,	Ἀχάζ	Ἀχάζ	881	N-PRI		singular	masculine	accusative					093001	93.53			
n40001009011	MAT 1:9!11	s	noun	proper	Ahaz	亚哈斯	Ahaz	Ἀχὰζ	 	Ἀχάζ	Ἀχὰζ	881	N-PRI		singular	masculine	nominative					093001	93.53			
n40001009012	MAT 1:9!12		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001009013	MAT 1:9!13	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001009011 A1:n40001009015		
n40001009014	MAT 1:9!14		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001009015	MAT 1:9!15		noun	proper	Hezekiah	希西家	Hezekiah	Ἑζεκίαν	,	Ἑζεκίας	Ἑζεκίαν	1478	N-ASM		singular	masculine	accusative					093001	93.106			
n40001010001	MAT 1:10!1	s	noun	proper	Hezekiah	希西家	Hezekiah	Ἑζεκίας	 	Ἑζεκίας	Ἑζεκίας	1478	N-NSM		singular	masculine	nominative					093001	93.106			
n40001010002	MAT 1:10!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001010003	MAT 1:10!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001010001 A1:n40001010005		
n40001010004	MAT 1:10!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001010005	MAT 1:10!5		noun	proper	Manasseh	玛拿西	Manasseh	Μανασσῆ	,	Μανασσῆς	Μανασσῆ	3128	N-ASM		singular	masculine	accusative					093001	93.251b			
n40001010006	MAT 1:10!6	s	noun	proper	Manasseh	玛拿西	Manasseh	Μανασσῆς	 	Μανασσῆς	Μανασσῆς	3128	N-NSM		singular	masculine	nominative					093001	93.251b			
n40001010007	MAT 1:10!7		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001010008	MAT 1:10!8	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001010006 A1:n40001010010		
n40001010009	MAT 1:10!9		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001010010	MAT 1:10!10		noun	proper	Amon	亚们	Amos	Ἀμώς	,	Ἀμώς	Ἀμώς	300	N-PRI		singular	masculine	accusative					093001	93.23a			
n40001010011	MAT 1:10!11	s	noun	proper	Amon	亚们	Amos	Ἀμὼς	 	Ἀμώς	Ἀμὼς	300	N-PRI		singular	masculine	nominative					093001	93.23a			
n40001010012	MAT 1:10!12		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001010013	MAT 1:10!13	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001010011 A1:n40001010015		
n40001010014	MAT 1:10!14		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001010015	MAT 1:10!15		noun	proper	Josiah	约西亚	Josiah	Ἰωσίαν	,	Ἰωσίας	Ἰωσίαν	2502	N-ASM		singular	masculine	accusative					093001	93.204			
n40001011001	MAT 1:11!1	s	noun	proper	Josiah	约西亚	Josiah	Ἰωσίας	 	Ἰωσίας	Ἰωσίας	2502	N-NSM		singular	masculine	nominative					093001	93.204			
n40001011002	MAT 1:11!2		conj		and	又	then	δὲ	 	δέ	δὲ	1161	CONJ									089015	89.87			
n40001011003	MAT 1:11!3	v	verb		fathered	生	begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001011001 A1:n40001011005;n40001011008		
n40001011004	MAT 1:11!4		det				-	τὸν	 	ὁ	τὸν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001011005	MAT 1:11!5		noun	proper	Jeconiah	耶哥尼雅	Jechoniah	Ἰεχονίαν	 	Ἰεχονίας	Ἰεχονίαν	2423	N-ASM		singular	masculine	accusative					093001	93.168			
n40001011006	MAT 1:11!6		conj		and	和	and	καὶ	 	καί	καὶ	2532	CONJ									089017	89.92			
n40001011007	MAT 1:11!7		det		the		the	τοὺς	 	ὁ	τοὺς	3588	T-APM		plural	masculine	accusative					092004	92.24			
