pdf_page,printed_page,line_order,text,bbox,bbox_normalized
554,542,3,"Spider, ch. 29.","[80.0, 253.846, 537.755, 310.127]","[0.047059, 0.092408, 0.316327, 0.112896]"
554,542,4,"Spouse. 2:102, 228-240; 3:15; 4:3, II, 12, 20. 23; 9:24; 13:23. 38; 16:72; 30:21;","[81.0, 301.607, 1582.748, 364.057]","[0.047647, 0.109795, 0.931028, 0.132529]"
554,542,5,33:37; 35:11; 39:6; 42:11; 43:70; 58:1.,"[81.0, 359.684, 899.758, 413.723]","[0.047647, 0.130937, 0.52927, 0.150609]"
554,542,6,Squander 4:6.,"[81.0, 413.723, 899.758, 467.762]","[0.047647, 0.150609, 0.52927, 0.170281]"
554,542,7,Stealing (see Law).,"[81.0, 467.762, 899.758, 521.8]","[0.047647, 0.170281, 0.52927, 0.189953]"
554,542,8,"Suicide, 4:29; 6:151; 17:33.","[82.0, 514.565, 1582.73, 568.608]","[0.048235, 0.187319, 0.931017, 0.206992]"
554,542,9,"Sun, 2:258; 6:78, 96; 7:54; 10:5; 12:4; 13:2; 14:33; 16:12; 17:78; 18:17, 86,90;","[82.0, 568.608, 1582.73, 622.65]","[0.048235, 0.206992, 0.931017, 0.226665]"
554,542,10,"20:130; 21:33; 22:18; 25:45; 27:34; 29:61; 31:29; 35:13; 36:38, 40; 39:5;","[82.0, 622.65, 1582.73, 676.692]","[0.048235, 0.226665, 0.931017, 0.246339]"
554,542,11,41:37; 50:39; 55:5; 71:16; 75:9; 76:13; 81:1; 91:1.,"[82.0, 676.692, 1582.73, 730.734]","[0.048235, 0.246339, 0.931017, 0.266012]"
554,542,12,"Supersede, 5:48.","[82.0, 730.734, 1582.73, 784.777]","[0.048235, 0.266012, 0.931017, 0.285685]"
554,542,13,"Surety, 2:283.","[82.0, 785.919, 546.753, 838.663]","[0.048235, 0.286101, 0.32162, 0.305301]"
554,542,14,"Surrender, 47:35.","[82.0, 838.663, 546.753, 891.407]","[0.048235, 0.305301, 0.32162, 0.324502]"
554,542,15,"Suspicion, sinful, 49:12.","[82.0, 891.407, 546.753, 944.151]","[0.048235, 0.324502, 0.32162, 0.343703]"
554,542,16,"Swear, 4:148; 17:53.","[82.0, 944.151, 546.753, 996.895]","[0.048235, 0.343703, 0.32162, 0.362903]"
554,542,17,"Syngogue, 22:40.","[82.0, 996.895, 546.753, 1049.639]","[0.048235, 0.362903, 0.32162, 0.382104]"
554,542,18,"Teacher, 18:17, 66.","[82.0, 1049.639, 546.753, 1102.383]","[0.048235, 0.382104, 0.32162, 0.401304]"
554,542,19,"Temple, 22:40.","[82.0, 1102.383, 546.753, 1155.127]","[0.048235, 0.401304, 0.32162, 0.420505]"
554,542,20,"Temporary, 2:36; 3:14, 185, 197; 4:77; 7:24; 10:70; 17:117; 28:60; 40:39; 42:36;","[83.0, 1147.607, 1580.766, 1203.447]","[0.048824, 0.417768, 0.929862, 0.438095]"
554,542,21,43:35; 57:20.,"[83.0, 1203.447, 1580.766, 1259.286]","[0.048824, 0.438095, 0.929862, 0.458422]"
554,542,22,"Temptation, 2:36; 3:155; 4:60, 120; 5:90. 91; 7:20, 27, 200. 201; 8:11,48; 14:22;","[83.0, 1259.286, 1580.766, 1315.125]","[0.048824, 0.458422, 0.929862, 0.47875]"
554,542,23,16:63; 17:64; 20:120; 41:36; 47:25; 59:16.,"[84.0, 1307.565, 968.75, 1363.306]","[0.049412, 0.475998, 0.569853, 0.496289]"
554,542,24,Test. 67:2.,"[84.0, 1363.306, 968.75, 1419.046]","[0.049412, 0.496289, 0.569853, 0.51658]"
554,542,25,"Throne, 7:54; 9:129; 10:3; 11:7; 13:2; 17:42; 20:5; 21:22; 23:86, 116; 25:59; 27:23,","[85.0, 1415.564, 1581.756, 1469.591]","[0.05, 0.515313, 0.930445, 0.53498]"
554,542,26,26; 32:4; 39:75; 40:7; 43:82; 57:4; 69:17; 81:20; 85:15.,"[85.0, 1469.591, 1581.756, 1523.618]","[0.05, 0.53498, 0.930445, 0.554648]"
554,542,27,"Thunder, 13:13.","[85.0, 1523.618, 1581.756, 1577.644]","[0.05, 0.554648, 0.930445, 0.574315]"
554,542,28,"Torah, 3:3, 48, 50, 65, 93; 5:43, 44, 46, 66, 68, 110; 7:157; 9:111; 48:29; 61:6; 62:5.","[85.0, 1577.644, 1581.756, 1631.671]","[0.05, 0.574315, 0.930445, 0.593983]"
554,542,29,"Travel, 2:184, 185, 283; 4:43; 5:6; 9:42; 18:62; 34:19.","[85.0, 1631.671, 1581.756, 1685.697]","[0.05, 0.593983, 0.930445, 0.61365]"
554,542,30,"Treasure, 11:12; 18:82; 25:8; 26:58; 28:76.","[85.0, 1685.697, 1581.756, 1739.724]","[0.05, 0.61365, 0.930445, 0.633318]"
554,542,31,"Treaty, 4:90, 92; 8:72.","[85.0, 1739.724, 1581.756, 1793.75]","[0.05, 0.633318, 0.930445, 0.652985]"
554,542,32,"Trinity, 4:171; 5:73.","[85.0, 1793.75, 1581.756, 1847.777]","[0.05, 0.652985, 0.930445, 0.672653]"
554,542,33,"Uncle, 4:23; 24:61; 33:50.","[90.0, 1847.684, 574.75, 1902.127]","[0.052941, 0.672619, 0.338088, 0.692438]"
554,542,34,"Unity, 3:103, 105; 6:159; 8:46; 30:32; 42:13.","[89.0, 1894.565, 921.768, 1948.93]","[0.052353, 0.689685, 0.542216, 0.709476]"
554,542,35,Usury (see Interest).,"[89.0, 1948.93, 921.768, 2003.295]","[0.052353, 0.709476, 0.542216, 0.729266]"
554,542,36,"Veil, 6:25; 17:46; 18:57; 24:31; 41:5.","[89.0, 2003.295, 921.768, 2057.659]","[0.052353, 0.729266, 0.542216, 0.749057]"
554,542,37,"Vicegerent, 2:30; 38:26.","[89.0, 2057.659, 921.768, 2112.024]","[0.052353, 0.749057, 0.542216, 0.768847]"
554,542,38,"Videotape, 17:13; 36:65.","[89.0, 2112.024, 921.768, 2166.388]","[0.052353, 0.768847, 0.542216, 0.788638]"
554,542,39,"Vision, 12:43; 17:60; 37:106; 48:27.","[89.0, 2166.388, 921.768, 2220.753]","[0.052353, 0.788638, 0.542216, 0.808428]"
554,542,40,9,"[90.0, 2216.684, 804.762, 2261.413]","[0.052941, 0.806947, 0.473389, 0.82323]"
554,542,41,"Wandering, Jews, 5:26.","[90.0, 2261.413, 804.762, 2306.142]","[0.052941, 0.82323, 0.473389, 0.839513]"
554,542,42,"War, 2:190-194; 8:161.","[90.0, 2306.142, 804.762, 2350.871]","[0.052941, 0.839513, 0.473389, 0.855796]"
554,542,43,"Whipping, 24:2, 4.","[90.0, 2350.871, 804.762, 2395.6]","[0.052941, 0.855796, 0.473389, 0.872079]"
554,542,44,"Widow, 2:234, 240.","[90.0, 2395.6, 804.762, 2440.329]","[0.052941, 0.872079, 0.473389, 0.888361]"
554,542,45,"Will. 2:180, 240; 4:11, 12. 176; 5:106.","[90.0, 2440.329, 804.762, 2485.057]","[0.052941, 0.888361, 0.473389, 0.904644]"
554,542,46,Wine (see Alcohol).,"[91.0, 2481.684, 472.751, 2536.127]","[0.053529, 0.903416, 0.278089, 0.923235]"
555,543,1,Witchcraft (see Black Magic).,"[127.0, 159.542, 704.745, 213.261]","[0.074706, 0.058483, 0.414556, 0.078175]"
555,543,2,"Word, Jesus, 3:45; 4:171.","[127.0, 213.261, 704.745, 266.979]","[0.074706, 0.078175, 0.414556, 0.097866]"
555,543,3,"Worship, 15:99.","[127.0, 266.979, 704.745, 320.698]","[0.074706, 0.097866, 0.414556, 0.117558]"
555,543,4,"Year, 9:36.","[127.0, 320.698, 704.745, 374.417]","[0.074706, 0.117558, 0.414556, 0.13725]"
556,544,1,"This is the ONLY scripture in existence,","[53.0, 138.5, 1505.746, 221.657]","[0.031176, 0.050714, 0.885733, 0.081163]"
556,544,2,"with a built-in physical, examinable, and","[53.0, 221.657, 1505.746, 304.813]","[0.031176, 0.081163, 0.885733, 0.111612]"
556,544,3,indisputable proof that it is God’s message,"[53.0, 304.813, 1505.746, 387.97]","[0.031176, 0.111612, 0.885733, 0.142061]"
556,544,4,to the world.,"[53.0, 387.97, 1505.746, 471.126]","[0.031176, 0.142061, 0.885733, 0.172511]"
556,544,5,First authorized English version of Quran,"[56.0, 711.446, 1504.729, 794.533]","[0.032941, 0.260508, 0.885135, 0.290931]"
556,544,6,(see footnote 1:1).,"[56.0, 794.533, 1504.729, 877.619]","[0.032941, 0.290931, 0.885135, 0.321355]"
556,544,7,First English rendering by a Muslim whose,"[58.0, 1121.42, 1504.74, 1201.653]","[0.034118, 0.410626, 0.885141, 0.440005]"
556,544,8,mother tongue is Arabic.,"[58.0, 1201.653, 1504.74, 1281.886]","[0.034118, 0.440005, 0.885141, 0.469383]"
556,544,9,First scriptural writing since Muhammad to,"[58.0, 1525.501, 1507.772, 1604.18]","[0.034118, 0.558587, 0.886925, 0.587397]"
556,544,10,"purge out all the superstitions, traditions,","[58.0, 1604.18, 1507.772, 1682.859]","[0.034118, 0.587397, 0.886925, 0.616206]"
556,544,11,"customs, and idol worship and restores","[58.0, 1682.859, 1507.772, 1761.538]","[0.034118, 0.616206, 0.886925, 0.645016]"
556,544,12,Quran and Islam to their original pristine,"[58.0, 1761.538, 1507.772, 1840.217]","[0.034118, 0.645016, 0.886925, 0.673825]"
556,544,13,purity.,"[58.0, 1840.217, 1507.772, 1918.896]","[0.034118, 0.673825, 0.886925, 0.702635]"
556,544,14,Never before was the Quran so clearly,"[61.0, 2146.591, 1509.751, 2237.359]","[0.035882, 0.786009, 0.888089, 0.819245]"
556,544,15,presented to the world.,"[61.0, 2237.359, 1509.751, 2328.126]","[0.035882, 0.819245, 0.888089, 0.852481]"
