pdf_page,printed_page,line_order,text,bbox,bbox_normalized
551,539,25,"Obedience, 2:285;3:32, 100, 132.149;4:13,34,59.69,80;5:92;6:116,121;8:1.20.","[139.0, 1416.707, 1636.005, 1469.816]","[0.081765, 0.520083, 0.962356, 0.53958]"
551,539,26,"46; 9:71; 18:28; 20:90; 24:47, 51-56; 25-52; 29:8; 31:15; 33:1. 66, 67, 71:","[139.0, 1469.816, 1636.005, 1522.924]","[0.081765, 0.53958, 0.962356, 0.559076]"
551,539,27,"43:54; 47:33; 48:16. 17; 49:7, 14; 58:13; 64:12, 16; 68:10; 96:19.","[139.0, 1522.924, 1636.005, 1576.032]","[0.081765, 0.559076, 0.962356, 0.578573]"
551,539,28,"Olive, 95:1.","[139.0, 1576.032, 1636.005, 1629.141]","[0.081765, 0.578573, 0.962356, 0.598069]"
551,539,29,"Orphan. 2:83, 177, 215. 220; 4:2, 3, 6, 8. 10. 36, 127; 6:152; 8:41; 17:34; 18:82;","[139.0, 1629.141, 1636.005, 1682.249]","[0.081765, 0.598069, 0.962356, 0.617566]"
551,539,30,59:7; 76:8; 89:17; 90:15; 93:9; 107:2.,"[144.0, 1671.973, 1636.994, 1726.254]","[0.084706, 0.613793, 0.962937, 0.63372]"
551,539,31,Palace (see Mansion).,"[144.0, 1726.254, 1636.994, 1780.536]","[0.084706, 0.63372, 0.962937, 0.653647]"
551,539,32,Paradise (see Eternity).,"[144.0, 1780.536, 1636.994, 1834.817]","[0.084706, 0.653647, 0.962937, 0.673574]"
551,539,33,"Parents, 2:83, 180,215:4:7,33,36, 135:6:151; 14:41; 17:23; 19:14; 27:19; 29:8;","[144.0, 1834.817, 1636.994, 1889.098]","[0.084706, 0.673574, 0.962937, 0.693501]"
551,539,34,31:14; 46:15; 71:28.,"[144.0, 1889.098, 1636.994, 1943.379]","[0.084706, 0.693501, 0.962937, 0.713428]"
551,539,35,"Patriarch. 2:136, 140; 3:84; 4:163; 5:12; 7:160.","[144.0, 1943.379, 1636.994, 1997.66]","[0.084706, 0.713428, 0.962937, 0.733355]"
551,539,36,Peace. 2:208; 4:90. 91. 94; 5:16; 6:127; 8:61; 10:25: 25:63; 28:55; 39:29; 43:89;,"[144.0, 1997.66, 1636.994, 2051.941]","[0.084706, 0.733355, 0.962937, 0.753282]"
551,539,37,47:35; 59:23; 97:5.,"[146.0, 2050.274, 1627.0, 2103.313]","[0.085882, 0.75267, 0.957059, 0.772141]"
551,539,38,"Pen, 31:27; 68:1; 96:4.","[146.0, 2103.313, 1627.0, 2156.352]","[0.085882, 0.772141, 0.957059, 0.791612]"
551,539,39,"Penalty, 5:89, 95.","[146.0, 2156.352, 1627.0, 2209.391]","[0.085882, 0.791612, 0.957059, 0.811083]"
551,539,40,"Persecution. 2:191, 193, 217; 8:39; 85:10.","[146.0, 2209.391, 1627.0, 2262.43]","[0.085882, 0.811083, 0.957059, 0.830555]"
551,539,41,"Pharoah, 2:49,50; 3:11; 7:103-141; 8:52-54; 10—75-90; 11:97; 14:6; 17:101, 102","[146.0, 2262.43, 1627.0, 2315.47]","[0.085882, 0.830555, 0.957059, 0.850026]"
551,539,42,"20:24, 43, 60, 78, 79; 23:46; 26:11, 16, 23, 41,44, 53; 27:12; 28:3-9, 32, 38","[146.0, 2315.47, 1627.0, 2368.509]","[0.085882, 0.850026, 0.957059, 0.869497]"
551,539,43,"29:39; 38:12; 40:24-46; 43:46, 51; 44:17, 31; 50:13; 51:38; 54:41; 66:11; 69:9","[146.0, 2368.509, 1627.0, 2421.548]","[0.085882, 0.869497, 0.957059, 0.888968]"
551,539,44,"73:15, 16; 79:17; 85:18; 89:10.","[146.0, 2421.548, 1627.0, 2474.587]","[0.085882, 0.888968, 0.957059, 0.908439]"
551,539,45,"Pilgrimage, 2:189, 196, 197; 3:97; 9:3; 22:27; 28:27.","[146.0, 2474.587, 1627.0, 2527.626]","[0.085882, 0.908439, 0.957059, 0.92791]"
552,540,1,"Plagues, 7:130-133.","[44.0, 141.786, 413.738, 194.777]","[0.025882, 0.051898, 0.243375, 0.071295]"
552,540,2,"Planets, 6:76; 12:4; 37:6; 82:2; 85:1 (see also Constellation, Star).","[45.0, 188.542, 1296.734, 243.842]","[0.026471, 0.069013, 0.762784, 0.089254]"
552,540,3,"Poets, 21:5; 26:224; 36:69; 37:36; 52:30; 69:41.","[45.0, 243.842, 1296.734, 299.143]","[0.026471, 0.089254, 0.762784, 0.109496]"
552,540,4,"Polygamy, 4:3, 129.","[45.0, 299.143, 1296.734, 354.443]","[0.026471, 0.109496, 0.762784, 0.129737]"
