Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:01:54.546,00:02:16.494,"[10:71]  Recite for them the history of Noah. He said to his people, ""O my people, if you find my position and my reminding you of GOD's revelations too much for you, then I put my trust in GOD, and I exhort you to do the following. You should get together with your leaders, agree on a final decision among yourselves, then let me know it without delay.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:16.916,00:02:22.029,"So, 71 is telling us that everyone who advocates God faces these difficulties.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:22.832,00:02:25.526,"And God is giving us... why is God telling us about Noah? He said,",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:25.526,00:02:33.702,"[10:71]  Recite for them the history of Noah. He said to his people, ""O my people, if you find my position and my reminding you of GOD's revelations too much for you, ...",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:34.407,00:02:36.636,"So, this tells us it was too much for them.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:37.378,00:02:39.801,"Dr. Khalifa: They called him ""crazy."" They persecuted him.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:39.801,00:02:40.566,A woman: Mā Shā Allāh,A woman,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:40.937,00:02:48.061,"All he was doing... In fact, the Quran says that Noah was inviting the people to be forgiven by God.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:48.477,00:02:49.486,That's all he was doing.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:49.486,00:02:54.187,"""I'm asking you, so, God will forgive you and to be redeemed by God.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:54.187,00:02:57.354,"""So, why are you persecuting me? Why are you against me?""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:02:57.632,00:03:01.291,"They considered him an enemy, just for doing that.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:01.723,00:03:02.897,A woman: Same thing system.,A woman,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:02.897,00:03:06.934,"Dr. Khalifa: So, it happens all the time with all the people who...",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:06.934,00:03:10.391,"Anyone who stands for God, yes, we are the same human beings.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:10.391,00:03:15.706,Noah had a head and two eyes and a nose and two ears. He had the same brain.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:16.219,00:03:19.308,And the people around him had the same brains like the humans around us.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:19.617,00:03:21.697,"Same, we're all the same people.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:25.958,00:03:27.464,A woman (on the phone): Hello.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:27.502,00:03:30.460,"Dr. Khalifa: 72, 72, Noah continues,",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:30.707,00:03:37.709,"[10:72]  ""If you turn away, then I have not asked you for any wage. My wage comes from GOD. I have been commanded to be a submitter.""",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:38.327,00:03:55.087,"[10:73]  They rejected him and, consequently, we saved him and those who joined him in the ark; we made them the inheritors. And we drowned those who rejected our revelations. Note the consequences for those who have been warned.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:55.431,00:03:57.671,This is God's system. It will never change.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:03:57.671,00:04:04.919,"It's been happening and as we will see continuously, with every messenger, this same things happen.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:06.732,00:04:12.480,"And you know, even this time, I'm repeatedly reminded from a long time ago, since 1980,",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:12.480,00:04:14.552,that we are in a situation like Noah's situation.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:14.552,00:04:15.873,Shakira: I know. You mentioned that.,Shakira,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:15.873,00:04:17.660,"Dr. Khalifa: And I wrote it in the Perspective, also.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:17.660,00:04:18.487,Shakira: Yeah.,Shakira,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:19.660,00:04:23.204,But does that mean that the world will be destroyed?,Shakira,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:23.204,00:04:24.216,Dr. Khalifa: Yes.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:25.266,00:04:27.575,"It's inevitable because of the disbelievers, yes.",Dr. Khalifa,37-1
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:25.266,00:04:27.575,I was thinking about that.,Shakira,37-1
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:27.884,00:04:30.810,But we still have a long time before that happens.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:30.810,00:04:32.131,"Parivash: Ok, if it's that way...",Parivash,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:32.131,00:04:34.131,"Dr. Khalifa: Because first, the smoke has to come.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:35.369,00:04:38.430,And imagine this maybe in 50 years or in 100 years.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:38.863,00:04:40.791,Smoke will envelop the whole earth.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:40.791,00:04:45.362,And the people will actually turn to God and will turn to this. And they will see the mathematical proof.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:45.733,00:04:46.868,They will believe.,Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:47.115,00:04:52.203,"And then, God will relieve, will relieve this retribution, the smoke.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:52.635,00:04:54.944,"But they'll go back to their old ways,",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:54.944,00:04:57.685,"in, say, 20 more years or 30 more years after that.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:04:58.179,00:04:59.561,"Then, the big bang.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:00.364,00:05:05.082,"Gog and Magog will come first, will invade the world, for 9 years.",Dr. Khalifa,37-2
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:00.364,00:05:05.082,And how after...,Parivash,37-2
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:05.338,00:05:12.512,"Parivash: After how so many destroy the people, and you know, how the generation in the end of the world is, as said,",Parivash,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:12.512,00:05:17.786,"Parivash: in (unintelligible), a lot of people, how? It's...",Parivash,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:17.786,00:05:25.345,"Dr. Khalifa: It's gonna be... This will happen now. A lot of people will believe, in the next 10 years. A lot of people.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:25.345,00:05:29.434,"Parivash: Ok, and in future that you said that is...",Parivash,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:29.743,00:05:36.498,"Dr. Khalifa: See, this goes in waves. People believe and then, the next generation, they become disbelievers.",Dr. Khalifa,
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:36.498,00:05:40.104,"No, I'm talking about the population.",Parivash,37-3
37 Quran Study From Parivash 1037 Shakira's Home Sura 11;68 11 04 1989,https://www.youtube.com/watch?v=EiTW2MhEtTc,00:05:36.498,00:05:40.104,(unintelligible),Dr. Khalifa,37-3
