Video Title,Link,Start Time,End Time,Text,Speaker,SplitFromRow
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:01:48.695,00:01:49.785,"Dr. Khalifa: Oh, every week.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:01:49.785,00:01:51.656,"A man: Yeah, it's something like that.",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:01:52.139,00:01:54.593,Dr. Khalifa: Yeah. It affects the people.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:01:54.874,00:01:55.874,A man: Of course.,A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:01:58.825,00:01:59.825,Dr. Khalifa: 16.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:02:01.632,00:02:11.795,"[39:16]  They will have masses of fire on top of them, and under them. GOD thus alerts His servants: O My servants, you shall reverence Me.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:02:12.912,00:02:22.083,"[39:17]  As for those who discarded the worship of all idols, and devoted themselves totally to GOD, they have the good news. Give good news to My servants.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:02:23.892,00:02:34.545,"[39:18]  They are the ones who examine all words, then follow the best. These are the ones whom GOD has guided; these are the ones who possess intelligence.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:02:35.602,00:02:40.000,"[39:19] For those who have incurred the retribution, can you save those who are already in Hell?",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:02:41.193,00:02:54.051,"[39:20]  As for those who reverence their Lord, they will have mansions upon mansions constructed for them, with flowing streams. This is GOD 's promise, and GOD never breaks His promise.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:02:54.973,00:03:10.311,"[39:21]  Do you not see that GOD sends down from the sky water, then places it into underground wells, then produces with it plants of various colors, then they grow until they turn yellow, and become hay? This should be a reminder for those who possess intelligence.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:10.961,00:03:15.928,"I think I'll stop here, have general discussions if there is any.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:17.470,00:03:27.136,"A man: By interruption here, by Makan, is it in devil... Sheytan (Satan) has any action here or any...",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:28.511,00:03:34.227,"For example, Makan, because (unintelligible), that made me nervous, I couldn't understand properly.",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:35.020,00:03:36.577,Dr. Khalifa: Say it again. Start all over again.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:36.577,00:03:41.482,"Ok. Makan, (unintelligible) makes me nervous, my son, Muhammad.",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:41.967,00:03:42.533,Dr. Khalifa: Ahan,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:42.533,00:03:47.306,"So, he interrupts, really, and makes me nervous, I couldn't understand.",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:47.659,00:03:49.040,"Dr. Khalifa: Oh, because Muhammad is making noise?",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:49.040,00:03:49.586,A man: Yes.,A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:49.586,00:03:50.791,Dr. Khalifa: That's natural.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:52.534,00:03:55.281,"A man: Did Sheytan (Satan) has any, Sheytan (Satan) has any...",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:56.338,00:03:56.972,Dr. Khalifa: Yes.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:57.797,00:03:58.431,A man: ...power here?,A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:03:58.431,00:04:01.927,"Dr. Khalifa: Yes, yes, he scares you and makes you nervous.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:03.613,00:04:04.818,You need to relax.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:07.108,00:04:10.000,"Dr. Khalifa: Concentrate on that, though. Don't worry. He's in God's hands.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:11.560,00:04:13.646,A man: Satan is very smoky but don't worry.,A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:14.053,00:04:14.553,Dr. Khalifa: Yeah.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:15.962,00:04:17.521,(4:76) إِنَّ كَيْدَ ٱلشَّيْطَٰنِ كَانَ ضَعِيفًا,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:17.521,00:04:18.023,Dr. Khalifa: Yes.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:20.692,00:04:26.170,Does the jinn that you were born with knows you (unintelligible),A woman,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:27.095,00:04:36.144,"As a barely child, can he already start, when we are too young to really understand, and",A woman,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:36.144,00:04:40.301,"(unintelligible) in the Quran, already starts to influence the deeds of Satan?",A woman,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:40.301,00:04:47.145,"Not like, take the cookies from the cookie jar, but stuff like, there's no God, and already starts...",A woman,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:47.145,00:04:51.171,"Dr. Khalifa: Yes, that will be, that will be from Sheytan (Satan). There is... It has to do with God.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:51.171,00:04:54.579,But remember that the jinn is also a baby at the time you're a baby.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:55.370,00:04:55.870,A woman: Oh.,A woman,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:04:56.383,00:04:56.883,Dr. Khalifa: Yes.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:00.000,00:05:03.848,"Dr. Khalifa: Our, our qualities as, as humans are not really complete.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:03.848,00:05:07.300,"They grow, we grow in our human qualities, and so does the jinn.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:08.047,00:05:10.177,He also grows in his jinn qualities.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:12.336,00:05:17.726,"So, this, this childishness in children is when the jinn is in control.",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:18.426,00:05:21.770,"Dr. Khalifa: No, no, I didn't say that. I said, I said the exact opposite.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:22.846,00:05:25.901,"Dr. Khalifa: I said when they're children, the jinn is also children.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:25.901,00:05:26.783,A man: Yes.,A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:27.091,00:05:30.000,"Dr. Khalifa: It's not an adult jinn getting hold of, of our child.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:30.352,00:05:31.070,"A man: No, I heard.",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:31.070,00:05:32.194,Dr. Khalifa: Jinn also is a child.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:32.194,00:05:33.736,"A man: Yeah, but I mean the age (unintelligible)",A man,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:33.736,00:05:36.659,A woman: It's directly proportionate (unintelligible),A woman,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:36.659,00:05:37.646,Dr. Khalifa: You mean to the age?,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:37.646,00:05:38.721,Kinda,A man,51-3
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:37.646,00:05:38.721,Yes.,Dr. Khalifa,51-3
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:41.538,00:05:44.417,"As soon as the human being begins to reason, so will the jinn.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:46.135,00:05:51.906,"And he will, for example, he will tell you ""as of now, don't get up early in the morning to do the Morning Prayer.""",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:53.435,00:05:55.456,"""It's more fun to sleep"" he'll tell you.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:05:57.482,00:06:00.000,He'll even keep you from school homework.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:06:00.468,00:06:01.832,He'll make it boring for you.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:06:03.065,00:06:04.241,"You know, it's really crazy.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:06:04.241,00:06:06.989,"I mean, jinn tells us the things that are bad for us.",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:06:07.782,00:06:11.358,"I mean, don't they realize that if I starve, he will starve, too, you know?",Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:06:13.737,00:06:16.810,Because they share in our pain and our joys.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:06:19.145,00:06:19.779,Dr. Khalifa: Yes.,Dr. Khalifa,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:06:20.396,00:06:22.760,"In other words, there are as many jinn as human beings?",A woman,
51 Quran Study 51 Sura 17;59 Rashad 1990,https://www.youtube.com/watch?v=PFxoFm1F3PQ,00:06:22.760,00:06:23.481,A woman: No.,A woman,
