pdf_page,printed_page,english_confidence,text_length,reason
2,,29.14,195,low OCR confidence or sparse text
17,,48.05,346,low OCR confidence or sparse text
18,,39.99,1191,low OCR confidence or sparse text
42,3,35.79,21,low OCR confidence or sparse text
43,,,0,low OCR confidence or sparse text
45,,27.89,163,low OCR confidence or sparse text
50,1,49.61,245,low OCR confidence or sparse text
52,1,31.04,173,low OCR confidence or sparse text
54,,20.34,302,low OCR confidence or sparse text
