pdf_page,printed_page,segment,bbox_normalized,raw_ocr,normalized_text,quran_reference,match_score,ocr_confidence,status
1,,1,"[0.05, 0.05, 0.95, 0.95]",بسم الله الرحمن الرحيم,بسم الله الرحمن الرحيم,1:1,100,100,canonical_quran_match
3,,1,"[0.263422, 0.32101, 0.607731, 0.357078]",نيد ]أن كلدك,نيد ]أن كلدك,,0,26.7,ocr_unverified_arabic
27,,1,"[0.234467, 0.344454, 0.648669, 0.429216]","5 ner لمت سرع سك‎ 2
OE Alsi يعرف‎",إِذۡ قَالَتِ ٱلۡمَلَـٰۤىِٕكَةُ یَـٰمَرۡیَمُ إِنَّ ٱللَّهَ یُبَشِّرُكِ بِكَلِمَةࣲ مِّنۡهُ ٱسۡمُهُ ٱلۡمَسِیحُ عِیسَى ٱبۡنُ مَرۡیَمَ وَجِیهࣰا فِی ٱلدُّنۡیَا وَٱلۡـَٔاخِرَةِ وَمِنَ ٱلۡمُقَرَّبِینَ,3:45,50.0,21.590000000000003,canonical_quran_match
32,26,1,"[0.360284, 0.667719, 0.614184, 0.691614]",َتَحَرَلَة رد درا‎,َتَحَرَلَة رد درا‎,,0,12.46,ocr_unverified_arabic
34,28,1,"[0.258317, 0.339946, 0.804305, 0.422453]","AAs © نديد أمَاسَابعَرضْوا شل‎
ون طلس الألؤر وذو‎ Juipses",یَـٰۤأَهۡلَ ٱلۡكِتَـٰبِ قَدۡ جَاۤءَكُمۡ رَسُولُنَا یُبَیِّنُ لَكُمۡ كَثِیرࣰا مِّمَّا كُنتُمۡ تُخۡفُونَ مِنَ ٱلۡكِتَـٰبِ وَیَعۡفُوا۟ عَن كَثِیرࣲۚ قَدۡ جَاۤءَكُم مِّنَ ٱللَّهِ نُورࣱ وَكِتَـٰبࣱ مُّبِینࣱ ﴿١٥﴾ یَهۡدِی بِهِ ٱللَّهُ مَنِ ٱتَّبَعَ رِضۡوَ ٰ⁠نَهُۥ سُبُلَ ٱلسَّلَـٰمِ وَیُخۡرِجُهُم مِّنَ ٱلظُّلُمَـٰتِ إِلَى ٱلنُّورِ بِإِذۡنِهِۦ وَیَهۡدِیهِمۡ إِلَىٰ صِرَ ٰ⁠طࣲ مُّسۡتَقِیمࣲ ﴿١٦﴾,5:15-16,54.84,25.905,canonical_quran_match
38,,1,"[0.434295, 0.552299, 0.717147, 0.582056]","2 لوهس 0 ,2% ,2 =
ولو كن ونه ورك BM‏","2 لوهس 0 ,2% ,2 =
ولو كن ونه ورك BM‏",,0,23.775,ocr_unverified_arabic
62,59,1,"[0.599262, 0.143372, 0.668635, 0.16862]",يَعُدنُ©‎,يَعُدنُ©‎,,0,0.0,ocr_unverified_arabic
74,,1,"[0.616609, 0.41028, 0.704498, 0.422904]","مقعم !""أله‎ 3.","مقعم !""أله‎ 3.",,0,45.2,ocr_unverified_arabic
75,72,1,"[0.342068, 0.412985, 0.818697, 0.432372]",Al-Shu‘ara’ 26. ما مو مل ممم م هملع‎,وَءَاتُوا۟ ٱلۡیَتَـٰمَىٰۤ أَمۡوَ ٰ⁠لَهُمۡۖ وَلَا تَتَبَدَّلُوا۟ ٱلۡخَبِیثَ بِٱلطَّیِّبِۖ وَلَا تَأۡكُلُوۤا۟ أَمۡوَ ٰ⁠لَهُمۡ إِلَىٰۤ أَمۡوَ ٰ⁠لِكُمۡۚ إِنَّهُۥ كَانَ حُوبࣰا كَبِیرࣰا,4:2,57.14,38.76,canonical_quran_match
