chapter	verses	revelation_order	revelation_place	name_arabic	name_english	name_transliterated	initials
87	19	8	Makkah	الأعلى	The Most High	Al-A‘alaa	
88	26	68	Makkah	الغاشية	Overwhelming	Al-Ghaasheyah	
89	30	10	Makkah	الفجر	Dawn	Al-Fajr	
90	20	35	Makkah	البلد	The Town	Al-Balad	
91	15	26	Makkah	الشمس	The Sun	Al-Shams	
92	21	9	Makkah	الليل	The Night	Al-Layl	
93	11	11	Makkah	الضحى	The Forenoon	Al-Duhaa	
94	8	12	Makkah	الشرح	Cooling the Temper	Al-Sharrhh	
95	8	28	Makkah	التين	The Fig	Al-Teen	
96	19	1	Makkah	العلق	The Embryo	Al-‘Alaq	
97	5	25	Makkah	القدر	The Destiny	Al-Qadr	
98	8	100	Medina	البينة	The Proof	Al-Bayyinah	
99	8	93	Medina	الزلزلة	The Quake	Al-Zalzalah	
100	11	14	Makkah	العاديات	The Gallopers	Al-‘Aadeyaat	
101	11	30	Makkah	القارعة	The Shocker	Al-Qaare‘ah	
102	8	16	Makkah	التكاثر	Hoarding	Al-Takaathur	
103	3	13	Makkah	العصر	The Afternoon	Al-‘Asr	
104	9	32	Makkah	الهمزة	The Backbiter	Al-Humazah	
105	5	19	Makkah	الفيل	The Elephant	Al-Feel	
106	4	29	Makkah	قريش	Quraish Tribe	The Quraish Tribe	
107	7	17	Makkah	الماعون	Charity	Al-Maa‘oon	
108	3	15	Makkah	الكوثر	Bounty	Al-Kawthar	
109	6	18	Makkah	الكافرون	The Disbelievers	Al-Kaaferoon	
110	3	114	Medina	النّصر	Triumph	Al-Nassr	
111	5	6	Makkah	المسد	Thorns	Al-Masad	
112	4	22	Makkah	الإخلاص	Absoluteness	Al-Ikhlaas	
113	5	20	Makkah	الفلق	Daybreak	Al-Falaq	
114	6	21	Makkah	الناس	People	Al-Naas	
