verse_index,verse_id,english,chapter_number,verse_number
2274,27:1,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters. The altar was to be about 2.3×2.3×1.4 meters or about 7½×7½×4½ feet.",77,1
2310,28:16,"A span is the length from the tip of a man’s thumb to the tip of his little finger when his hand is stretched out (about half a cubit, or 9 inches, or 22.8 cm.)",78,16
2312,28:18,"or, lapis lazuli",78,18
2377,29:40,"1 ephah is about 22 liters or about 2/3 of a bushel A hin is about 6.5 liters or 1.7 gallons, so a fourth of a hin is about 1.6 liters.",79,40
2385,30:2,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",80,2
2396,30:13,A shekel is about 10 grams or about 0.35 ounces. a gerah is about 0.5 grams or about 7.7 grains,80,13
2398,30:15,A shekel is about 10 grams or about 0.35 ounces.,80,15
2406,30:23,"A shekel is about 10 grams or about 0.35 ounces, so 500 shekels is about 5 kilograms or about 11 pounds.",80,23
2407,30:24,A hin is about 6.5 liters or 1.7 gallons.,80,24
2452,32:13,"or, seed",82,13
2502,34:5,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,84,5
2576,36:9,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",86,9
2606,37:1,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",87,1
2629,37:24,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces,87,24
2635,38:1,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",88,1
2658,38:24,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces. A shekel is about 10 grams or about 0.32 Troy ounces.,88,24
2659,38:25,A talent is about 30 kilograms or 66 pounds A shekel is about 10 grams or about 0.35 ounces.,88,25
2660,38:26,a beka is about 5 grams or about 0.175 ounces A shekel is about 10 grams or about 0.35 ounces.,88,26
2661,38:27,A talent is about 30 kilograms or 66 pounds.,88,27
2662,38:28,"A shekel is about 10 grams or about 0.35 ounces, so 1775 shekels is about 17.75 kilograms or about 39 pounds.",88,28
2663,38:29,"A talent is about 30 kilograms or 66 pounds 70 talents + 2400 shekels is about 2124 kilograms, or 2.124 metric tons.",88,29
2674,39:9,"A span is the length from the tip of a man’s thumb to the tip of his little finger when his hand is stretched out (about half a cubit, or 9 inches, or 22.8 cm.)",89,9
2676,39:11,"or, lapis lazuli",89,11
2747,1:1,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",91,1
2776,2:13,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,92,13
2842,5:11,1 ephah is about 22 liters or about 2/3 of a bushel,95,11
2846,5:15,A shekel is about 10 grams or about 0.35 ounces.,95,15
2870,6:20,1 ephah is about 22 liters or about 2/3 of a bushel,96,20
2994,10:16,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",100,16
3003,11:5,"or rock badger, or cony",101,5
3101,13:48,warp and woof are the vertical and horizontal threads in woven cloth,103,48
3122,14:10,1 ephah is about 22 liters or about 2/3 of a bushel a log is a liquid measure of about 300 ml or 10 ounces,104,10
3133,14:21,1 ephah is about 22 liters or about 2/3 of a bushel a log is a liquid measure of about 300 ml or 10 ounces,104,21
3273,18:21,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,108,21
3294,19:12,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,109,12
3298,19:16,"literally, “blood”",109,16
3305,19:23,"literally, “uncircumcised”",109,23
3318,19:36,1 ephah is about 22 liters or about 2/3 of a bushel A hin is about 6.5 liters or 1.7 gallons.,109,36
3321,20:2,"or, seed",110,2
3372,22:2,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,112,2
3402,22:32,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,112,32
3416,23:13,1 ephah is about 22 liters or about 2/3 of a bushel A hin is about 6.5 liters or 1.7 gallons.,113,13
3420,23:17,1 ephah is about 22 liters or about 2/3 of a bushel,113,17
3437,23:34,"or, feast of tents, or Succoth",113,34
3445,23:42,"or, booths or, booths",113,42
3446,23:43,"or, booths",113,43
3452,24:5,1 ephah is about 22 liters or about 2/3 of a bushel,114,5
3574,27:3,A shekel is about 10 grams or about 0.35 ounces.,117,3
3587,27:16,1 homer is about 220 liters or 6 bushels A shekel is about 10 grams or about 0.35 ounces.,117,16
3596,27:25,A gerah is about 0.5 grams or about 7.7 grains. A shekel is about 10 grams or about 0.35 ounces.,117,25
3606,1:1,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",118,1
3621,1:16,"or, chiefs, or, leaders",118,16
3705,3:12,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",120,12
3727,3:34,"+ 22,000 is the sum rounded to 2 significant digits. The sum of the Gershonites, Kohathites, and Merarites given above is 22,300, but the traditional Hebrew text has the number rounded to 2 significant digits, not 3 significant digits.",120,34
3740,3:47,A shekel is about 10 grams or about 0.35 ounces. A gerah is about 0.5 grams or about 7.7 grains.,120,47
3743,3:50,"A shekel is about 10 grams or about 0.35 ounces, so 1365 shekels is about 13.65 kilograms or about 30 pounds.",120,50
3808,5:15,1 ephah is about 22 liters or about 2/3 of a bushel,122,15
3821,5:28,"or, seed",122,28
3831,6:7,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,123,7
3864,7:13,A shekel is about 10 grams or about 0.35 ounces.,124,13
4028,11:3,Taberah means “burning”,128,3
4032,11:7,Bdellium is a resin extracted from certain African trees.,128,7
4056,11:31,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",128,31
4057,11:32,1 homer is about 220 liters or 6 bushels,128,32
4059,11:34,Kibroth Hattaavah means “graves of lust”,128,34
4109,13:33,"or, giants or, giants",130,33
4126,14:17,The word translated “Lord” is “Adonai.”,131,17
4158,15:4,1 ephah is about 22 liters or about 2/3 of a bushel A hin is about 6.5 liters or 1.7 gallons.,132,4
4160,15:6,1 ephah is about 22 liters or about 2/3 of a bushel,132,6
4163,15:9,1 ephah is about 22 liters or about 2/3 of a bushel,132,9
4192,15:38,"or, tassels (Hebrew צִיצִ֛ת) or, tassel",132,38
4193,15:39,"or, tassel",132,39
4225,16:30,Sheol is the place of the dead.,133,30
4228,16:33,Sheol is the place of the dead.,133,33
4274,18:16,A shekel is about 10 grams or about 0.35 ounces. A gerah is about 0.5 grams or about 7.7 grains.,135,16
4325,20:13,“Meribah” means “quarreling”.,137,13
4344,21:3,“Hormah” means “destruction”.,138,3
4583,28:5,1 ephah is about 22 liters or about 2/3 of a bushel A hin is about 6.5 liters or 1.7 gallons.,145,5
4585,28:7,"One hin is about 6.5 liters, so 1/4 hin is about 1.6 liters or 1.7 quarts.",145,7
4587,28:9,1 ephah is about 22 liters or about 2/3 of a bushel,145,9
4590,28:12,1 ephah is about 22 liters or about 2/3 of a bushel,145,12
4717,31:52,"A shekel is about 10 grams or about 0.35 ounces, so 16,750 shekels is about 167.5 kilograms or about 368.5 pounds.",148,52
4850,35:4,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",152,4
4896,1:3,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",154,3
4899,1:6,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,154,6
4901,1:8,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection. or, seed",154,8
4987,3:11,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",156,11
5000,3:24,The word translated “Lord” is “Adonai.”,156,24
5065,5:11,"LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah. or, You shall not take the name of the LORD your God in vain;",158,11
5483,22:12,"or, tassels",175,12
5490,22:19,"A shekel is about 10 grams or about 0.35 ounces, so 100 shekels is about a kilogram or 2.2 pounds.",175,19
5500,22:29,A shekel is about 10 grams or about 0.35 ounces.,175,29
5519,23:18,"literally, dog",176,18
5572,26:5,"or, forefather",179,5
5606,27:20,"i.e., has sexual relations with",180,20
5670,28:58,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,181,58
5781,32:22,Sheol is the place of the dead.,185,22
5802,32:43,"For this verse, LXX reads: Rejoice, you heavens, with him, and let all the angels of God worship him; rejoice you Gentiles, with his people, and let all the sons of God strengthen themselves in him; for he will avenge the blood of his sons, and he will give vengeance, and recompense justice to his enemies, and will reward them that hate him; and the Lord shall purge the land of his people.",185,43
5813,33:2,"another manuscript reads “He came with myriads of holy ones from the south, from his mountain slopes.”",186,2
5827,33:16,"i.e., the burning bush of Exodus 3:3-4 .",186,16
5843,34:3,"or, Negev",187,3
