verse_index,verse_id,english,chapter_number,verse_number
10697,11:23,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters. Therefore this Egyptian was about 7 feet and 6 inches or 2.28 meters tall.",349,23
10786,14:11,“Baal Perazim” means “The Lord who breaks out”.,352,11
10834,16:13,"or, seed",354,13
10914,19:6,"A talent is about 30 kilograms or 66 pounds, so 1000 talents is about 30 metric tons",357,6
10924,19:16,"or, the Euphrates River",357,16
10929,20:2,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces,358,2
10960,21:25,"A shekel is about 10 grams or about 0.32 Troy ounces, so 600 shekels was about 6 kilograms or about 192 Troy ounces.",359,25
10979,22:14,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 100,000 talents is about 3 metric tons about 30,000 metric tons",360,14
11169,29:4,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 3000 talents is about 90 metric tons about 210 metric tons",367,4
11172,29:7,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 5000 talents is about 150 metric tons a daric was a gold coin issued by a Persian king, weighing about 8.4 grams or about 0.27 troy ounces each.",367,7
11196,1:1,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh). The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).",368,1
11212,1:17,"The pieces of silver were probably shekels, so 600 pieces would be about 13.2 pounds or 6 kilograms of silver, and 150 would be about 3.3 pounds or 1.5 kilograms of silver. or, Aramean",368,17
11216,2:4,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",369,4
11222,2:10,"1 cor is the same as a homer, or about 55.9 U. S. gallons (liquid) or 211 liters or 6 bushels, so 20,000 cors of wheat would weigh about 545 metric tons 1 bath is one tenth of a cor, or about 5.6 U. S. gallons or 21 liters or 2.4 pecks. 20,000 baths of barley would weigh about 262 metric tons.",369,10
11225,2:13,"or, Huram, my father",369,13
11233,3:3,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",370,3
11238,3:8,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 600 talents is about 18 metric tons",370,8
11239,3:9,"A shekel is about 10 grams or about 0.32 Troy ounces, so 50 shekels was about 0.5 kilograms or about 16 Troy ounces.",370,9
11248,4:1,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",371,1
11249,4:2,"or, pool, or, reservoir",371,2
11252,4:5,"A bath is about 5.6 U. S. gallons or 21.1 liters, so 3,000 baths is about 16,800 gallons or 63.3 kiloliters.",371,5
11263,4:16,“abi” means “his father”,371,16
11296,6:13,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",373,13
11360,8:13,"or, feast of tents (Sukkot)",375,13
11365,8:18,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 450 talents is about 13.5 metric tons",375,18
11369,9:4,"or, she was breathless.",376,4
11374,9:9,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 120 talents is about 3.6 metric tons",376,9
11375,9:10,"possibly Indian sandalwood, which has nice grain and a pleasant scent and is good for woodworking",376,10
11378,9:13,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces, so 666 talents is about 20 metric tons",376,13
11380,9:15,"A shekel is about 10 grams or about 0.32 Troy ounces, so 600 shekels was about 6 kilograms or about 192 Troy ounces.",376,15
11381,9:16,"A shekel is about 10 grams or about 0.32 Troy ounces, so 300 shekels was about 3 kilograms or about 96 Troy ounces.",376,16
11595,20:7,"or, seed",387,7
11614,20:26,“Beracah” means “blessing”.,387,26
11660,23:3,Hebrew He,390,3
11711,25:6,A talent is about 30 kilograms or 66 pounds,392,6
11714,25:9,A talent is about 30 kilograms or 66 pounds,392,9
11728,25:23,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters, so 400 cubits is about 200 yards or 184 meters.",392,23
11761,27:5,"A talent is about 30 kilograms or 66 pounds 1 cor is the same as a homer, or about 55.9 U. S. gallons (liquid) or 211 liters or 6 bushels. 10,000 cors of wheat would weigh about 1,640 metric tons. 10,000 cors of barley would weigh about 1,310 metric tons.",394,5
11897,32:21,"i.e., his own sons",399,21
11928,33:19,"or, the seers",400,19
11997,36:3,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces,403,3
12018,1:1,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",404,1
12019,1:2,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,404,2
12087,2:59,"or, seed",405,59
12097,2:69,"a daric was a gold coin issued by a Persian king, weighing about 8.4 grams or about 0.27 troy ounces each. A mina is about 600 grams or 1.3 U. S. pounds, so 5,000 minas is about 3 metric tons.",405,69
12155,6:3,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",409,3
12196,7:22,"A talent is about 30 kilograms or 66 pounds or 965 Troy ounces 1 cor is the same as a homer, or about 55.9 U. S. gallons (liquid) or 211 liters or 6 bushels. 1 bath is one tenth of a cor, or about 5.6 U. S. gallons or 21 liters or 2.4 pecks. 100 baths would be about 2,100 liters.",410,22
12228,8:26,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces,411,26
12229,8:27,"a daric was a gold coin issued by a Persian king, weighing about 8.4 grams or about 0.27 troy ounces each.",411,27
12253,9:15,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",412,15
12301,1:4,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,414,4
12302,1:5,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",414,5
12308,1:11,The word translated “Lord” is “Adonai.”,414,11
12341,3:13,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",416,13
12388,5:5,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",418,5
12398,5:15,A shekel is about 10 grams or about 0.35 ounces.,418,15
12482,7:61,"or, seed",420,61
12491,7:70,"a daric was a gold coin issued by a Persian king, weighing about 8.4 grams or about 0.27 troy ounces each.",420,70
12492,7:71,"A mina is about 600 grams or 1.3 U. S. pounds, so 2,200 minas is about 1.3 metric tons.",420,71
12509,8:15,"or, booths",421,15
12510,8:16,"or, booths",421,16
12511,8:17,"or, booths",421,17
12582,10:32,A shekel is about 10 grams or about 0.35 ounces.,423,32
12757,3:9,A talent is about 30 kilograms or 66 pounds or 965 Troy ounces,429,9
12794,5:14,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",431,14
12799,6:5,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",432,5
12817,7:9,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",433,9
12861,9:26,"Purim is the Hebrew plural for pur, which means lot.",435,26
12863,9:28,"or, seed",435,28
12871,1:1,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,437,1
12876,1:6,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",437,6
12882,1:12,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",437,12
12977,5:25,"or, seed",441,25
13018,7:9,Sheol is the place of the dead.,443,9
13117,11:8,Sheol is the place of the dead.,447,8
13195,14:13,Sheol is the place of the dead.,450,13
13274,17:13,Sheol is the place of the dead.,453,13
13277,17:16,Sheol is the place of the dead.,453,16
13369,21:13,Sheol is the place of the dead.,457,13
13456,24:19,Sheol is the place of the dead.,460,19
13474,26:6,Sheol is the place of the dead. Abaddon means Destroyer.,462,6
13521,28:16,"or, lapis lazuli",464,16
13533,28:28,The word translated “Lord” is “Adonai.”,464,28
13637,32:8,"or, breath",468,8
13890,41:1,Leviathan is a name for a crocodile or similar creature.,477,1
13934,42:11,"literally, kesitah, a unit of money, probably silver",478,11
13942,1:2,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",479,2
13948,2:2,The word “Anointed” is the same as the word for “Messiah” or “Christ”,480,2
13950,2:4,The word translated “Lord” is “Adonai.”,480,4
13958,2:12,"or, Kiss the son",480,12
13960,3:2,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,481,2
13991,6:5,Sheol is the place of the dead.,484,5
14010,7:14,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",485,14
14018,8:5,"Hebrew: Elohim. The word Elohim, used here, usually means “God”, but can also mean “gods”, “princes”, or “angels”. The Septuagint reads “angels” here. See also the quote from the Septuagint in Hebrews 2:7 .",486,5
14039,9:17,Sheol is the place of the dead.,487,17
14103,16:10,Sheol is the place of the dead.,494,10
14124,18:5,Sheol is the place of the dead.,496,5
14169,18:50,"or, seed",496,50
14221,22:16,"So Dead Sea Scrolls. Masoretic Text reads, “Like a lion, they pin my hands and feet.”",500,16
14323,30:3,Sheol is the place of the dead.,508,3
14349,31:17,Sheol is the place of the dead.,509,17
14390,34:1,"Psalm 34 is an acrostic poem, with each verse starting with a letter of the alphabet (ordered from Alef to Tav).",512,1
14557,42:1,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,520,1
14564,42:8,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",520,8
14595,44:23,The word translated “Lord” is “Adonai.”,522,23
14616,46:1,Alamoth is a musical term.,524,1
14663,49:14,Sheol is the place of the dead. Sheol is the place of the dead.,527,14
14664,49:15,Sheol is the place of the dead.,527,15
14748,55:15,Sheol is the place of the dead.,533,15
14905,68:4,Hebrew: יה Yah,546,4
14917,68:16,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,546,16
14919,68:18,Hebrew: יה Yah,546,18
14921,68:20,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",546,20
15022,73:1,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,551,1
15041,73:20,The word translated “Lord” is “Adonai.”,551,20
15049,73:28,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",551,28
15260,83:18,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,561,18
15298,86:13,Sheol is the place of the dead.,564,13
15306,87:4,Rahab is a reference to Egypt.,565,4
15312,88:3,Sheol is the place of the dead.,566,3
15335,89:8,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah. Hebrew: יה Yah,567,8
15375,89:48,Sheol is the place of the dead.,567,48
15380,90:1,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim). The word translated “Lord” is “Adonai.”,568,1
15392,90:13,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",568,13
15433,94:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,572,1
15439,94:7,Hebrew: יה Yah,572,7
15444,94:12,Hebrew: יה Yah,572,12
15486,97:7,LXX reads “angels” instead of “gods”.,575,7
15523,102:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,580,1
15540,102:18,Hebrew: יה Yah,580,18
15573,104:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,582,1
15576,104:4,"or, angels",582,4
15607,104:35,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah. Hebrew: יה Yah,582,35
15608,105:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,583,1
15652,105:45,Hebrew: יה Yah,583,45
15653,106:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,584,1
15700,106:48,Hebrew: יה Yah,584,48
15701,107:1,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",585,1
15711,107:11,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,585,11
15777,109:21,The word translated “Lord” is “Adonai.”,587,21
15795,111:1,"Hebrew: יה Yah. Psalm 111 is an acrostic poem, with each verse after the initial “Praise the LORD!” starting with a letter of the alphabet (ordered from Alef to Tav). LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.",589,1
15805,112:1,"Hebrew: יה Yah. Psalm 112 is an acrostic poem, with each verse after the initial “Praise the LORD!” starting with a letter of the alphabet (ordered from Alef to Tav). LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.",590,1
15815,113:1,Hebrew: יה Yah LORD or GOD in all caps is from the Hebrew יהוה‎ Yahweh except when otherwise noted as being from the short form יה Yah.,591,1
15823,113:9,Hebrew: יה Yah,591,9
15832,115:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,593,1
15848,115:17,Hebrew: יה Yah,593,17
15849,115:18,Hebrew: יה Yah Hebrew: יה Yah,593,18
15850,116:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,594,1
15852,116:3,Sheol is the place of the dead.,594,3
15868,116:19,Hebrew: יה Yah,594,19
15869,117:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,595,1
15870,117:2,Hebrew: יה Yah,595,2
15871,118:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,596,1
15875,118:5,Hebrew: יה Yah Hebrew: יה Yah,596,5
15884,118:14,Hebrew: יה Yah,596,14
15888,118:18,Hebrew: יה Yah,596,18
15889,118:19,Hebrew: יה Yah,596,19
15892,118:22,"Literally, head of the corner",596,22
16142,130:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,608,1
16144,130:3,Hebrew: יה Yah,608,3
16177,135:1,Hebrew: יה Yah LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,613,1
16179,135:3,Hebrew: יה Yah,613,3
16180,135:4,Hebrew: יה Yah,613,4
16197,135:21,Hebrew: יה Yah,613,21
16233,138:1,"The word elohim, used here, usually means “God” but can also mean “gods”, “princes”, or “angels”.",616,1
16248,139:8,Sheol is the place of the dead.,617,8
16284,141:7,Sheol is the place of the dead.,619,7
16322,145:1,"This is an acrostic psalm, with every verse (including the second half of verse 13) starting with a consecutive letter of the Hebrew alphabet.",623,1
16334,145:13,Some manuscripts omit these last two lines.,623,13
16343,146:1,Hebrew: יה Yah LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,624,1
16352,146:10,Hebrew: יה Yah,624,10
16353,147:1,Hebrew: יה Yah,625,1
16354,147:2,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,625,2
16372,147:20,Hebrew: יה Yah,625,20
16373,148:1,Hebrew: יה Yah LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,626,1
16386,148:14,Hebrew: יה Yah,626,14
16387,149:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,627,1
16395,149:9,Hebrew: יה Yah,627,9
16396,150:1,Hebrew: יה Yah,628,1
16401,150:6,Hebrew: יה Yah Hebrew: יה Yah,628,6
16408,1:7,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",629,7
16413,1:12,Sheol is the place of the dead.,629,12
16424,1:23,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",629,23
16439,2:5,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,630,5
16523,5:5,Sheol is the place of the dead.,633,5
16603,7:27,Sheol is the place of the dead.,635,27
16657,9:18,Sheol is the place of the dead.,637,18
16710,11:21,"or, seed",639,21
16819,15:11,Sheol is the place of the dead.,643,11
16832,15:24,Sheol is the place of the dead.,643,24
17059,23:14,Sheol is the place of the dead.,651,14
17190,27:20,Sheol is the place of the dead.,655,20
17268,30:16,Sheol is the place of the dead.,658,16
17295,31:10,"Proverbs 31:10-31 form an acrostic, with each verse starting with each letter of the Hebrew alphabet, in order.",659,10
17326,1:10,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",660,10
17329,1:13,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,660,13
17486,9:10,Sheol is the place of the dead.,668,10
17553,1:15,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",672,15
17647,8:6,Sheol is the place of the dead. Hebrew: יה Yah,679,6
17652,8:11,"A shekel is about 10 grams or about 0.35 ounces, so 1000 shekels is about 10 kilograms or about 22 pounds.",679,11
17657,1:2,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",680,2
17659,1:4,"or, seed",680,4
17665,1:10,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,680,10
17679,1:24,The word translated “Lord” is “Adonai.”,680,24
17680,1:25,tin is a metal that is separated from silver during the refining and purification process.,680,25
17709,3:1,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection. When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",682,1
17716,3:8,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",682,8
17723,3:15,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",682,15
17750,5:10,"literally, ten yokes, or the amount of land that ten yokes of oxen can plow in one day, which is about 10 acres or 4 hectares. 1 bath is about 22 liters or 5.8 U. S. gallons 1 homer is about 220 liters or 6 bushels 1 ephah is about 22 liters or 0.6 bushels or about 2 pecks—only one tenth of what was sown.",684,10
17754,5:14,Sheol is the place of the dead.,684,14
17797,7:14,“Immanuel” means “God with us”.,686,14
17806,7:23,"A shekel is about 10 grams or about 0.35 ounces, so 1000 shekels is about 10 kilograms or 22 pounds.",686,23
17809,8:1,"“Maher Shalal Hash Baz” means “quick to the plunder, swift to the prey”.",687,1
17867,10:16,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",689,16
17871,10:20,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",689,20
17874,10:23,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",689,23
17902,12:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,691,1
17903,12:2,Hebrew: יה Yah LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,691,2
17938,14:9,Sheol is the place of the dead.,693,9
17940,14:11,Sheol is the place of the dead.,693,11
17944,14:15,Sheol is the place of the dead.,693,15
18009,19:4,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",698,4
18058,22:5,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",701,5
18065,22:12,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",701,12
18067,22:14,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",701,14
18125,25:6,"literally, fat things",704,6
18135,26:4,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah. Hebrew: יה Yah,705,4
18180,28:15,Sheol is the place of the dead.,707,15
18183,28:18,Sheol is the place of the dead.,707,18
18187,28:22,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",707,22
18196,29:2,"or, Ariel",708,2
18318,34:14,"literally, lilith, which could also be a night demon or night monster",713,14
18392,38:1,LORD or GOD in all caps is from the Hebrew יהוה Yahweh except when otherwise noted as being from the short form יה Yah.,717,1
18401,38:10,Sheol is the place of the dead.,717,10
18402,38:11,Hebrew: יה Yah Hebrew: יה Yah,717,11
18409,38:18,Sheol is the place of the dead.,717,18
18567,45:5,"or, equip",724,5
18712,52:15,"or, sprinkle",731,15
18723,53:11,So read the Dead Sea Scrolls and Septuagint. Masoretic Text omits “the light”.,732,11
18775,57:9,Sheol is the place of the dead.,736,9
18845,61:1,LXX and DSS add: recovery of sight to the blind,740,1
18859,62:4,Hephzibah means “I delight in her”. Beulah means “married”,741,4
18949,1:2,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",746,2
18953,1:6,"The word translated “Lord” is “Adonai.” “Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",746,6
18983,2:17,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,747,17
18984,2:18,"i.e., the Euphrates River",747,18
18985,2:19,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",747,19
19135,7:15,"or, seed",752,15
19426,20:3,“Magormissabib” means “surrounded by terror”,765,3
19741,32:9,A shekel is about 10 grams or about 0.35 ounces.,777,9
20056,46:10,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",791,10
20082,48:1,"or, The stronghold",793,1
20192,50:25,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",795,25
20298,52:21,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",797,21
20299,52:22,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",797,22
20316,1:5,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",798,5
20325,1:14,The word translated “Lord” is “Adonai.”,798,14
20396,3:41,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,800,41
20466,1:1,The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,803,1
20468,1:3,"When rendered in ALL CAPITAL LETTERS, “LORD” or “GOD” is the translation of God’s Proper Name (Hebrew “ יהוה ”, usually pronounced Yahweh).",803,3
20469,1:4,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",803,4
20491,1:26,"or, lapis lazuli",803,26
20497,2:4,The word translated “Lord” is “Adonai.”,804,4
20510,3:7,"Literally, have a hard forehead",805,7
20540,4:10,A shekel is about 10 grams or about 0.35 ounces.,806,10
20541,4:11,A hin is about 6.5 liters or 1.7 gallons.,806,11
20635,10:1,"or, lapis lazuli",812,1
20839,17:13,"or, seed",819,13
20925,20:29,“Bamah” means “High Place”.,822,29
20951,21:6,"literally, the breaking of your thighs",823,6
20966,21:21,teraphim were household idols that may have been associated with inheritance rights to the household property.,823,21
20984,22:7,"Literally, made light of father and mother.",824,7
21171,28:13,"or, lapis lazuli",830,13
21246,31:15,Sheol is the place of the dead.,833,15
21247,31:16,Sheol is the place of the dead.,833,16
21270,32:21,Sheol is the place of the dead.,834,21
21483,40:5,"A normal cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters. A handbreadth is about 4.3 inches or 11 centimeters, so the long cubit described here would be about 22.3 inches or 57 centimeters long. Thus, a 6 long cubit measuring reed would have been about 3 yards 26.6 inches or about 3.42 meters long.",842,5
21529,41:2,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",843,2
21555,42:2,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",844,2
21586,43:13,"A normal cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters. A hand width is about 4.3 inches or 11 cm. A span is the length from the tip of a man’s thumb to the tip of his little finger when his hand is stretched out (about half a cubit, or 9 inches, or 22.8 cm.)",845,13
21633,45:2,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",847,2
21641,45:10,1 ephah is about 22 liters or about 2/3 of a bushel,847,10
21642,45:11,1 homer is about 220 liters or 6 bushels,847,11
21643,45:12,A shekel is about 10 grams or about 0.35 ounces. a gerah is about 0.5 grams or about 7.7 grains A mina is about 600 grams or 1.3 U. S. pounds.,847,12
21645,45:14,"1 cor is the same as 1 homer in volume, and is about 211 liters, 55.9 gallons, or 6 bushels. 1 bath is about 21.1 liters, 5.59 gallons, or 2.4 pecks.",847,14
21655,45:24,1 ephah is about 22 liters or about 2/3 of a bushel A hin is about 6.5 liters or 1.7 gallons.,847,24
21661,46:5,A hin is about 6.5 liters or 1.7 gallons. 1 ephah is about 22 liters or about 2/3 of a bushel,848,5
21667,46:11,1 ephah is about 22 liters or about 2/3 of a bushel,848,11
21670,46:14,1 ephah is about 22 liters or about 2/3 of a bushel,848,14
21678,46:22,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",848,22
21683,47:3,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",849,3
21740,1:2,The word translated “Lord” is “Adonai.” The Hebrew word rendered “God” is “ אֱלֹהִ֑ים ” (Elohim).,851,2
21741,1:3,"or, seed",851,3
21790,2:31,"“Behold”, from “ הִנֵּה ”, means look at, take notice, observe, see, or gaze at. It is often used as an interjection.",852,31
21809,3:1,"A cubit is the length from the tip of the middle finger to the elbow on a man’s arm, or about 18 inches or 46 centimeters.",853,1
21833,3:25,"Or, the Son of God.",853,25
