pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
12,,2,"Al-Qadr. 27th night of Ramadan,","Al-Qadr. 27th night of Ramadan,","[38.049, 313.165, 256.767, 324.14]","[0.073468, 0.438177, 0.495784, 0.453533]"
12,,3,13 B.H. Night during which the,13 B.H. Night during which the,"[38.5, 325.695, 260.265, 335.829]","[0.074339, 0.455709, 0.502539, 0.469888]"
12,,3,Quran was revealed. Muhammad,Quran was revealed. Muhammad,"[38.5, 335.829, 260.265, 345.962]","[0.074339, 0.469888, 0.502539, 0.484067]"
12,,3,was taken to the highest Heaven,was taken to the highest Heaven,"[38.5, 345.962, 260.265, 356.096]","[0.074339, 0.484067, 0.502539, 0.498246]"
12,,3,to receive the Quran.,to receive the Quran.,"[38.5, 356.096, 260.265, 366.23]","[0.074339, 0.498246, 0.502539, 0.512424]"
12,,3,Qaaroon Wealthy slave driver. A Hebrew,Qaaroon Wealthy slave driver. A Hebrew,"[38.5, 366.23, 260.265, 376.363]","[0.074339, 0.512424, 0.502539, 0.526603]"
12,,3,traitor who served Pharaoh by,traitor who served Pharaoh by,"[38.5, 376.363, 260.265, 386.497]","[0.074339, 0.526603, 0.502539, 0.540782]"
12,,3,enslaving his own people.,enslaving his own people.,"[38.5, 386.497, 260.265, 396.631]","[0.074339, 0.540782, 0.502539, 0.554961]"
12,,3,Qiblah,Qiblah,"[38.5, 396.631, 260.265, 406.764]","[0.074339, 0.554961, 0.502539, 0.56914]"
12,,3,Direction Muslims face during their,Direction Muslims face during their,"[38.5, 406.764, 260.265, 416.898]","[0.074339, 0.56914, 0.502539, 0.583319]"
12,,3,contact prayers (Salat).,contact prayers (Salat).,"[38.5, 416.898, 260.265, 427.032]","[0.074339, 0.583319, 0.502539, 0.597498]"
12,,3,Rak'ah,Rak'ah,"[38.5, 427.032, 260.265, 437.165]","[0.074339, 0.597498, 0.502539, 0.611677]"
12,,3,One unit of contact prayer (Salat).,One unit of contact prayer (Salat).,"[38.5, 437.165, 260.265, 447.299]","[0.074339, 0.611677, 0.502539, 0.625856]"
12,,3,Rasoul,Rasoul,"[38.5, 447.299, 260.265, 457.433]","[0.074339, 0.625856, 0.502539, 0.640035]"
12,,3,"Messenger of God, or prophet, who","Messenger of God, or prophet, who","[38.5, 457.433, 260.265, 467.566]","[0.074339, 0.640035, 0.502539, 0.654214]"
12,,3,may or may not deliver a new,may or may not deliver a new,"[38.5, 467.566, 260.265, 477.7]","[0.074339, 0.654214, 0.502539, 0.668392]"
12,,3,scripture (see Nabi). Every Nabi was,scripture (see Nabi). Every Nabi was,"[38.5, 477.7, 260.265, 487.834]","[0.074339, 0.668392, 0.502539, 0.682571]"
12,,3,"a Rasoul, but not every Rasoul is","a Rasoul, but not every Rasoul is","[38.5, 487.834, 260.265, 497.967]","[0.074339, 0.682571, 0.502539, 0.69675]"
12,,3,a Nabi. See definitions in 3:81.,a Nabi. See definitions in 3:81.,"[38.5, 497.967, 260.265, 508.101]","[0.074339, 0.69675, 0.502539, 0.710929]"
12,,3,Saaleh,Saaleh,"[38.5, 508.101, 260.265, 518.235]","[0.074339, 0.710929, 0.502539, 0.725108]"
12,,3,Messenger of God.,Messenger of God.,"[38.5, 518.235, 260.265, 528.368]","[0.074339, 0.725108, 0.502539, 0.739287]"
12,,3,Sacred Months,Sacred Months,"[38.5, 528.368, 260.265, 538.502]","[0.074339, 0.739287, 0.502539, 0.753466]"
12,,3,"The 12th, 1st, 2nd, and 3rd","The 12th, 1st, 2nd, and 3rd","[38.5, 538.502, 260.265, 548.636]","[0.074339, 0.753466, 0.502539, 0.767645]"
12,,3,months of the Islamic Calendar.,months of the Islamic Calendar.,"[38.5, 548.636, 260.265, 558.769]","[0.074339, 0.767645, 0.502539, 0.781824]"
12,,3,Months during which Muslims,Months during which Muslims,"[38.5, 558.769, 260.265, 568.903]","[0.074339, 0.781824, 0.502539, 0.796003]"
12,,3,observe Hajj.,observe Hajj.,"[38.5, 568.903, 260.265, 579.037]","[0.074339, 0.796003, 0.502539, 0.810182]"
12,,3,Sacred Mosque Al-Masjid Al-Haraam. The,Sacred Mosque Al-Masjid Al-Haraam. The,"[38.5, 579.037, 260.265, 589.17]","[0.074339, 0.810182, 0.502539, 0.82436]"
12,,3,"great mosque in Mecca, where the","great mosque in Mecca, where the","[38.5, 589.17, 260.265, 599.304]","[0.074339, 0.82436, 0.502539, 0.838539]"
12,,3,Ka’bah is located.,Ka’bah is located.,"[38.5, 599.304, 260.265, 609.438]","[0.074339, 0.838539, 0.502539, 0.852718]"
12,,3,Salam,Salam,"[38.5, 609.438, 260.265, 619.571]","[0.074339, 0.852718, 0.502539, 0.866897]"
12,,3,Peace. Greeting.,Peace. Greeting.,"[38.5, 619.571, 260.265, 629.705]","[0.074339, 0.866897, 0.502539, 0.881076]"
12,,3,Salamun Alaikum Peace be unto you;,Salamun Alaikum Peace be unto you;,"[38.5, 629.705, 260.265, 639.839]","[0.074339, 0.881076, 0.502539, 0.895255]"
12,,3,greeting,greeting,"[38.5, 639.839, 260.265, 649.972]","[0.074339, 0.895255, 0.502539, 0.909434]"
12,,3,Salat,Salat,"[38.5, 649.972, 260.265, 660.106]","[0.074339, 0.909434, 0.502539, 0.923613]"
12,,3,"Daily contact prayers -  dawn, noon,","Daily contact prayers - dawn, noon,","[38.5, 660.106, 260.265, 670.24]","[0.074339, 0.923613, 0.502539, 0.937792]"
12,,4,"afternoon, sunset, & night prayers.","afternoon, sunset, & night prayers.","[85.3, 671.59, 247.252, 682.09]","[0.164704, 0.939681, 0.477413, 0.954372]"
