chapter_number,chapter_verses,revelation_order,title_english_reference,title_arabic,title_transliterated_reference,pdf_start_page,pdf_end_page,title_1989,title_english_1989,title_parenthetical_1989,verse_start_pdf_page,verse_end_pdf_page
55,78,97,The Gracious,الرحمن,Al-Rahmaan,550,553,Most Gracious,Most Gracious,,550,553
56,96,46,The Inevitable,الواقعة,Al-Waaqe‘ah,553,556,The Inevitable,The Inevitable,,553,556
57,29,94,Iron,الحديد,Al-Hadeed,556,560,Iron,Iron,,556,560
58,22,105,The Debate,المجادلة,Al-Mujaadalah,561,564,The Debate,The Debate,,561,564
59,24,101,The Exodus,الحشر,Al-Hashr,564,567,Exodus (Al-Hashr),Exodus,Al-Hashr,564,567
60,13,91,The Test,الممتحنة,Al-Mumtahanah,567,570,The Test,The Test,,568,570
61,14,109,The Column,الصف,Al-Suff,570,571,The Column (Al-Suff),The Column,Al-Suff,570,571
62,11,110,Friday,الجمعة,Al-Jumu‘ah,572,573,Friday (Al-Jumu‘ah),Friday,Al-Jumu‘ah,572,573
63,11,104,The Hypocrites,المنافقون,Al-Munaafeqoon,573,574,The Hypocrites,The Hypocrites,,573,574
64,18,108,Mutual Blaming,التغابن,Al-Taghaabun,574,576,Mutual Blaming (Al-Taghaabun),Mutual Blaming,Al-Taghaabun,575,576
65,12,99,Divorce,الطلاق,Al-Talaaq,576,578,Divorce (Al-Talaaq),Divorce,Al-Talaaq,577,578
66,12,107,Prohibition,التحريم,Al-Tahreem,579,580,Prohibition (Al-Tahreem),Prohibition,Al-Tahreem,579,580
67,30,77,Kingship,الملك,Al-Mulk,581,583,Kingship (Al-Mulk),Kingship,Al-Mulk,581,583
68,52,2,The Pen,القلم,Al-Qalam,583,585,The Pen (Al-Qalam),The Pen,Al-Qalam,583,585
69,52,78,Incontestable,الحاقة,Al-Haaqqah,585,587,Incontestable,Incontestable,,585,587
70,44,79,The Heights,المعارج,Al-Ma‘aarej,587,589,The Heights,The Heights,,587,589
71,28,71,Noah,نوح,Nuh,589,590,Noah,Noah,,589,590
72,28,40,Jinns,الجن,Al-Jinn,591,592,Jinns (Al-Jinn),Jinns,Al-Jinn,591,592
73,20,3,Cloaked,المزمل,Al-Muzzammil,593,594,Cloaked (Al-Muzzammil),Cloaked,Al-Muzzammil,593,594
74,56,4,The Hidden Secret,المدثر,Al-Muddath-thir,594,596,The Hidden Secret,The Hidden Secret,,594,596
75,40,31,Resurrection,القيامة,Al-Qeyaamah,596,597,Resurrection,Resurrection,,596,597
76,31,98,The Human,الانسان,Al-Insaan,597,599,The Human,The Human,,597,599
77,50,33,Dispatched,المرسلات,Al-Mursalaat,599,600,Dispatched,Dispatched,,599,600
78,40,80,The Event,النبأ,Al-Naba’,601,602,The Event (Al-Naba’),The Event,Al-Naba’,601,602
79,46,81,The Snatchers,النازعات,Al-Naaze‘aat,602,603,The Snatchers,The Snatchers,,602,603
80,42,24,He Frowned,عبس,Abasa,603,604,He Frowned (‘Abasa),He Frowned,‘Abasa,604,604
81,29,7,The Rolling,التكوير,Al-Takweer,605,605,The Rolling (Al-Takweer),The Rolling,Al-Takweer,605,605
82,19,82,The Shattering,الانفطار,Al-Infitaar,605,606,The Shattering (Al-Infitaar),The Shattering,Al-Infitaar,606,606
83,36,86,The Cheaters,المطففين,Al-Mutaffifeen,606,608,The Cheaters,The Cheaters,,606,608
84,25,83,The Rupture,الانشقاق,Al-Inshiqaaq,608,608,The Rupture (Al-Inshiqaaq),The Rupture,Al-Inshiqaaq,608,608
85,22,27,The Galaxies,البروج,Al-Burooj,609,609,The Galaxies (Al-Burooj),The Galaxies,Al-Burooj,609,609
86,17,36,The Bright Star,الطارق,Al-Taareq,609,610,The Bright Star (Al-Taareq),The Bright Star,Al-Taareq,610,610
87,19,8,The Most High,الأعلى,Al-A‘alaa,610,611,The Most High,The Most High,,610,611
88,26,68,Overwhelming,الغاشية,Al-Ghaasheyah,611,611,Overwhelming (Al-Ghaasheyah),Overwhelming,Al-Ghaasheyah,611,611
89,30,10,Dawn,الفجر,Al-Fajr,612,613,Dawn (Al-Fajr),Dawn,Al-Fajr,612,613
90,20,35,The Town,البلد,Al-Balad,613,613,The Town (Al-Balad),The Town,Al-Balad,613,613
91,15,26,The Sun,الشمس,Al-Shams,613,614,The Sun (Al-Shams),The Sun,Al-Shams,614,614
92,21,9,The Night,الليل,Al-Layl,614,615,The Night (Al-Layl),The Night,Al-Layl,614,615
93,11,11,The Forenoon,الضحى,Al-Duhaa,615,615,The Forenoon (Al-Duhaa),The Forenoon,Al-Duhaa,615,615
94,8,12,Cooling the Temper,الشرح,Al-Sharrhh,615,615,Cooling the Temper,Cooling the Temper,,615,615
95,8,28,The Fig,التين,Al-Teen,616,616,The Fig (Al-Teen),The Fig,Al-Teen,616,616
96,19,1,The Embryo,العلق,Al-‘Alaq,616,616,The Embryo,The Embryo,,616,616
97,5,25,The Destiny,القدر,Al-Qadr,617,617,Destiny (Al-Qadr),Destiny,Al-Qadr,617,617
98,8,100,The Proof,البينة,Al-Bayyinah,617,618,Proof (Al-Bayyinah),Proof,Al-Bayyinah,617,618
99,8,93,The Quake,الزلزلة,Al-Zalzalah,618,618,The Quake (Al-Zalzalah),The Quake,Al-Zalzalah,618,618
100,11,14,The Gallopers,العاديات,Al-‘Aadeyaat,618,619,The Gallopers,The Gallopers,,618,619
101,11,30,The Shocker,القارعة,Al-Qaare‘ah,619,619,The Shocker (Al-Qaare‘ah),The Shocker,Al-Qaare‘ah,619,619
102,8,16,Hoarding,التكاثر,Al-Takaathur,619,619,Hoarding,Hoarding,,619,619
103,3,13,The Afternoon,العصر,Al-‘Asr,620,620,The Afternoon (Al-‘Asr),The Afternoon,Al-‘Asr,620,620
104,9,32,The Backbiter,الهمزة,Al-Humazah,620,620,The Backbiter,The Backbiter,,620,620
105,5,19,The Elephant,الفيل,Al-Feel,620,620,The Elephant,The Elephant,,620,620
106,4,29,Quraish Tribe,قريش,The Quraish Tribe,621,621,Quraish (The Quraish Tribe),Quraish,The Quraish Tribe,621,621
107,7,17,Charity,الماعون,Al-Maa‘oon,621,621,Charity,Charity,,621,621
108,3,15,Bounty,الكوثر,Al-Kawthar,621,621,Bounty (Al-Kawthar),Bounty,Al-Kawthar,621,621
109,6,18,The Disbelievers,الكافرون,Al-Kaaferoon,622,622,The Disbelievers (Al-Kaaferoon),The Disbelievers,Al-Kaaferoon,622,622
110,3,114,Triumph,النّصر,Al-Nassr,622,622,Triumph,Triumph,,622,622
111,5,6,Thorns,المسد,Al-Masad,622,622,Thorns (Al-Masad),Thorns,Al-Masad,622,622
112,4,22,Absoluteness,الإخلاص,Al-Ikhlaas,623,623,Absoluteness (Al-Ikhlaas),Absoluteness,Al-Ikhlaas,623,623
113,5,20,Daybreak,الفلق,Al-Falaq,623,623,Daybreak (Al-Falaq),Daybreak,Al-Falaq,623,623
114,6,21,People,الناس,Al-Naas,623,623,People (Al-Naas),People,Al-Naas,623,623
