chapter_number,placement_before_verse,verse_id,text,pdf_page,printed_page,bbox,bbox_normalized,later_edition_candidates_same_verse,exact_match_to_later_edition
2,3,2:3,Three Categories of People,21,2,"[78.099, 156.448, 212.067, 168.448]","[0.150799, 0.218901, 0.409475, 0.235691]",Three Categories of People (1) The Righteous,False
2,6,2:6,(2) The Disbelievers.,22,3,"[209.4, 43.511, 310.996, 54.511]","[0.404325, 0.06088, 0.600494, 0.076271]",(2) The Disbelievers,False
2,8,2:8,(3) The Hypocrites.,22,3,"[213.25, 130.861, 307.96, 141.861]","[0.411759, 0.183099, 0.594632, 0.19849]",(3) The Hypocrites,False
2,20,2:20,The Light of Faith,23,4,"[214.19, 149.598, 306.938, 161.598]","[0.413574, 0.209316, 0.592659, 0.226106]",The Light of Faith,True
2,23,2:23,Mathematical Challenge,23,4,"[85.099, 431.598, 208.831, 443.598]","[0.164315, 0.603887, 0.403227, 0.620678]",Mathematical Challenge,True
2,60,2:60,More Miracles,28,9,"[113.15, 248.848, 185.426, 260.848]","[0.218478, 0.348186, 0.358034, 0.364976]",More Miracles,True
2,63,2:63,Covenant with Israel,29,10,"[81.7, 175.398, 187.12, 187.398]","[0.157752, 0.245415, 0.361305, 0.262206]",Covenant with Israel,True
2,67,2:67,The Heifer*,29,10,"[116.3, 464.348, 175.256, 476.348]","[0.224561, 0.649711, 0.338397, 0.666501]",The Heifer*,True
2,75,2:75,Tampering with the Word of God,30,11,"[64.9, 444.798, 232.096, 456.798]","[0.125314, 0.622357, 0.448148, 0.639147]",Distorting the Word of God,False
2,80,2:80,Eternity of Heaven and Hell,31,12,"[74.3, 250.648, 216.728, 262.648]","[0.143464, 0.350704, 0.418475, 0.367495]",Eternity of Heaven and Hell*,False
2,83,2:83,Covenant with Israel,31,12,"[93.7, 502.398, 198.22, 514.398]","[0.180923, 0.70295, 0.382738, 0.71974]",The Commandments,False
2,87,2:87,The Prophets of Israel,32,13,"[93.25, 416.848, 204.766, 428.848]","[0.180054, 0.583249, 0.395377, 0.60004]",The Prophets of Israel,True
2,89,2:89,The Quran Consummates Previous Scriptures,33,14,"[144.1, 48.098, 374.2, 60.098]","[0.278239, 0.067299, 0.722533, 0.084089]",The Quran Consummates All Scriptures,False
2,97,2:97,Gabriel Mediates the Revelation,34,15,"[67.099, 276.698, 228.667, 288.698]","[0.12956, 0.387153, 0.441527, 0.403943]",Gabriel Mediates the Revelation,True
2,102,2:102,Witchcraft Condemned,35,16,"[201.5, 49.298, 317.0, 61.298]","[0.389071, 0.068978, 0.612087, 0.085768]",Witchcraft Condemned,True
2,104,2:104,Twisting the Words of Supplication,35,16,"[59.15, 439.748, 233.762, 451.748]","[0.114211, 0.615291, 0.451365, 0.632081]",Twisting the Words of Supplication,True
2,105,2:105,Jealousy Condemned,35,16,"[205.3, 551.248, 311.74, 563.248]","[0.396409, 0.7713, 0.601931, 0.78809]",Jealousy Condemned,True
2,106,2:106,The Ultimate Miracle: The Quran’s Mathematical Code*,36,17,"[174.85, 47.598, 345.802, 73.998]","[0.337613, 0.066599, 0.6677, 0.103538]",The Ultimate Miracle: The Quran's Mathematical Code*,False
2,114,2:114,You Shall Frequent the Mosques,37,18,"[177.5, 113.748, 341.984, 125.748]","[0.34273, 0.159155, 0.660328, 0.175946]",You Shall Frequent the Masjid,False
2,116,2:116,Gross Blasphemy,37,18,"[102.84, 275.948, 189.924, 287.948]","[0.198571, 0.386104, 0.366719, 0.402894]",Gross Blasphemy,True
2,124,2:124,Abraham,38,19,"[123.5, 338.848, 171.236, 350.848]","[0.238463, 0.474113, 0.330635, 0.490903]",Abraham,True
2,136,2:136,Do Not Make Any Distinction Among God’s Messengers,40,21,"[117.95, 104.498, 401.786, 116.498]","[0.227747, 0.146213, 0.775799, 0.163003]",No Distinction Among God's Messengers,False
2,142,2:142,Abolition of Bigotry and Prejudice*,41,22,"[168.6, 49.298, 347.964, 61.298]","[0.325545, 0.068978, 0.671875, 0.085768]",Abolition of Bigotry and Prejudice*,True
2,146,2:146,Abuse of the Scripture: Selective Emphasis and Concealment,42,23,"[106.2, 48.798, 414.444, 60.798]","[0.205059, 0.068278, 0.800239, 0.085068]",Abuse of the Scripture: Selective Emphasis and Concealment,True
2,149,2:149,Qiblah Restored to Mecca,42,23,"[81.5, 172.048, 212.228, 184.048]","[0.157366, 0.240728, 0.409786, 0.257518]",Qiblah Restored to Mecca,True
2,159,2:159,Gross Offense,43,24,"[110.75, 279.698, 181.118, 291.698]","[0.213844, 0.391351, 0.349716, 0.408141]",Gross Offense,True
2,164,2:164,Overwhelming Signs of God,44,25,"[190.19, 48.198, 329.69, 60.198]","[0.367233, 0.067439, 0.63659, 0.084229]",Overwhelming Signs of God,True
2,165,2:165,The Idols Disown Their Tdnlirerx*,44,25,"[176.3, 170.848, 346.436, 182.848]","[0.340413, 0.239049, 0.668924, 0.255839]",The Idols Disown Their Idolizers*,False
2,168,2:168,Satan Prohibits Lawful Things,44,25,"[69.5, 526.148, 225.02, 538.148]","[0.134196, 0.736181, 0.434485, 0.752971]",Satan Prohibits Lawful Things,True
2,172,2:172,Only Four Meats Prohibited*,45,26,"[75.25, 182.748, 221.338, 194.748]","[0.145298, 0.255699, 0.427376, 0.27249]",Only Four Meats Prohibited*,True
2,177,2:177,Righteousness Defined,46,27,"[203.9, 48.348, 316.46, 60.348]","[0.393705, 0.067648, 0.611045, 0.084439]",Righteousness Defined,True
2,180,2:180,Write A Will,46,27,"[118.7, 456.548, 180.248, 468.548]","[0.229195, 0.638797, 0.348036, 0.655588]",Write A Will,True
2,183,2:183,Fasting Emphasized and Modified*,47,28,"[168.85, 93.348, 348.298, 105.348]","[0.326028, 0.130612, 0.67252, 0.147402]",Fasting Emphasized and Modified*,True
2,188,2:188,Bribery & Corruption Condemned,48,29,"[62.75, 331.148, 234.23, 343.148]","[0.121162, 0.463339, 0.452269, 0.480129]","Bribery, Corruption Condemned",False
2,189,2:189,Do Not Beat Around the Bush,48,29,"[70.7, 424.748, 224.9, 436.748]","[0.136513, 0.594303, 0.434254, 0.611093]",Do Not Beat Around the Bush,True
2,196,2:196,Hajj & ‘Umrah Pilgrimage*,49,30,"[77.15, 352.548, 215.318, 364.548]","[0.148967, 0.493282, 0.415752, 0.510072]",Hajj and 'Umrah Pilgrimage*,False
2,203,2:203,Last Rituals of Hajj,51,32,"[208.19, 48.348, 309.086, 60.348]","[0.401989, 0.067648, 0.596806, 0.084439]",Mena: Last Rites of Hajj,False
2,204,2:204,Appearances May Be Deceiving,51,32,"[179.65, 145.048, 340.822, 157.048]","[0.346882, 0.20295, 0.658084, 0.21974]",Appearances May Be Deceiving,True
2,211,2:211,Manifested Miracles Bring Greater Responsibility*,52,33,"[134.3, 48.448, 386.66, 60.448]","[0.259316, 0.067788, 0.746592, 0.084579]",Miracles Bring Greater Responsibility*,False
2,219,2:219,Intoxicants and Gambling Prohibited,53,34,"[52.45, 397.548, 239.614, 409.548]","[0.101274, 0.556245, 0.462665, 0.573035]",Intoxicants and Gambling Prohibited*,False
2,221,2:221,Do Not Many Idol Worshipers,54,35,"[184.44, 120.948, 337.716, 132.948]","[0.356131, 0.16923, 0.652087, 0.18602]",Do Not Marry Idol Worshipers,False
2,222,2:222,Menstruation,54,35,"[115.3, 329.248, 182.104, 341.248]","[0.22263, 0.460681, 0.35162, 0.477471]",Menstruation,True
2,224,2:224,Do Not Take God’s Name in Vain,54,35,"[172.69, 589.548, 347.758, 601.548]","[0.333443, 0.824889, 0.671477, 0.84168]",Do Not Take God's Name in Vain,False
2,226,2:226,Laws of Divorce,55,36,"[216.85, 79.548, 300.274, 91.548]","[0.41871, 0.111303, 0.579791, 0.128093]",Laws of Divorce,True
2,236,2:236,Breaking the Engagement,57,38,"[81.7, 359.948, 210.472, 371.948]","[0.157752, 0.503636, 0.406395, 0.520426]",Breaking the Engagement,True
2,238,2:238,You Shall Observe the Daily Contact Prayers (Salat) *,58,39,"[126.09, 49.048, 398.276, 61.051]","[0.243464, 0.068628, 0.769021, 0.085422]",You Shall Observe the Contact Prayers*,False
2,240,2:240,Alimony For Widows and Divorcees,58,39,"[69.25, 182.148, 251.806, 194.148]","[0.133713, 0.25486, 0.486206, 0.27165]",Alimony For Widows and Divorcees,True
2,243,2:243,Striving in the Cause of God,58,39,"[75.95, 421.048, 220.058, 433.048]","[0.14665, 0.589126, 0.424904, 0.605916]",Striving in the Cause of God,True
2,246,2:246,Saul*,59,40,"[244.69, 47.748, 273.19, 59.748]","[0.472466, 0.066809, 0.527496, 0.083599]",Saul*,True
2,249,2:249,David and Goliath,60,41,"[213.939, 48.798, 309.459, 60.798]","[0.413089, 0.068278, 0.597527, 0.085068]",David and Goliath,True
