pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
740,725,12,"114; 4:114; 9:71,112; 31:17; 96:12","114; 4:114; 9:71,112; 31:17; 96:12","[190.2, 360.976, 331.82, 371.117]","[0.367252, 0.505074, 0.640703, 0.519263]"
740,725,12,"described 2:177,197; 3:92; 7:26;","described 2:177,197; 3:92; 7:26;","[190.2, 371.117, 331.82, 381.258]","[0.367252, 0.519263, 0.640703, 0.533452]"
740,725,12,23:61; 40:40,23:61; 40:40,"[190.2, 381.258, 331.82, 391.398]","[0.367252, 0.533452, 0.640703, 0.54764]"
740,725,12,"enjoined 2:203,223,234; 5:2; 6:155;","enjoined 2:203,223,234; 5:2; 6:155;","[190.2, 391.398, 331.82, 401.539]","[0.367252, 0.54764, 0.640703, 0.561829]"
740,725,12,7:65; 8:1; 16:90; 20:113; 22:77;,7:65; 8:1; 16:90; 20:113; 22:77;,"[190.2, 401.539, 331.82, 411.68]","[0.367252, 0.561829, 0.640703, 0.576018]"
740,725,12,33:70; 34:11; 64:16; 65:10,33:70; 34:11; 64:16; 65:10,"[190.2, 411.68, 331.82, 421.82]","[0.367252, 0.576018, 0.640703, 0.590206]"
740,725,12,forbidding 9:67; 50:25,forbidding 9:67; 50:25,"[190.2, 421.82, 331.82, 431.961]","[0.367252, 0.590206, 0.640703, 0.604395]"
740,725,12,from God 6:158; 7:156; 21:73;,from God 6:158; 7:156; 21:73;,"[190.2, 431.961, 331.82, 442.102]","[0.367252, 0.604395, 0.640703, 0.618584]"
740,725,12,46:15; 47:17; 48:26,46:15; 47:17; 48:26,"[190.2, 442.102, 331.82, 452.243]","[0.367252, 0.618584, 0.640703, 0.632773]"
740,725,12,"loan 5:12; 57:11,18; 64:17; 73:20","loan 5:12; 57:11,18; 64:17; 73:20","[190.2, 452.243, 331.82, 462.383]","[0.367252, 0.632773, 0.640703, 0.646961]"
740,725,12,"protects 3:120,125","protects 3:120,125","[190.2, 462.383, 331.82, 472.524]","[0.367252, 0.646961, 0.640703, 0.66115]"
740,725,12,"rewarded 2:25; 3:15; 4:57,122,124;","rewarded 2:25; 3:15; 4:57,122,124;","[190.2, 472.524, 331.82, 482.665]","[0.367252, 0.66115, 0.640703, 0.675339]"
740,725,12,"5:9; 7:156; 12:57,90; 20:75,82; 21:94;","5:9; 7:156; 12:57,90; 20:75,82; 21:94;","[190.2, 482.665, 331.82, 492.805]","[0.367252, 0.675339, 0.640703, 0.689527]"
740,725,12,"22:14; 27:89; 28:80,84; 39:61;","22:14; 27:89; 28:80,84; 39:61;","[190.2, 492.805, 331.82, 502.946]","[0.367252, 0.689527, 0.640703, 0.703716]"
740,725,12,"41:30; 65:2,4; 99:7","41:30; 65:2,4; 99:7","[190.2, 502.946, 331.82, 513.087]","[0.367252, 0.703716, 0.640703, 0.717905]"
740,725,12,"Rivers 2:249; 6:6; 7:43; 10:9; 13:3,35;","Rivers 2:249; 6:6; 7:43; 10:9; 13:3,35;","[190.2, 513.087, 331.82, 523.227]","[0.367252, 0.717905, 0.640703, 0.732094]"
740,725,12,"14:32; 16:15,31; 17:91; 18:31,33,60;","14:32; 16:15,31; 17:91; 18:31,33,60;","[190.2, 523.227, 331.82, 533.368]","[0.367252, 0.732094, 0.640703, 0.746282]"
740,725,12,20:39;27:61;28:7;43:51;47:15;71:12,20:39;27:61;28:7;43:51;47:15;71:12,"[190.2, 533.368, 331.82, 543.509]","[0.367252, 0.746282, 0.640703, 0.760471]"
740,725,12,Roads 16:15;20:53;21:31;43:10;71:20,Roads 16:15;20:53;21:31;43:10;71:20,"[190.2, 543.509, 331.82, 553.649]","[0.367252, 0.760471, 0.640703, 0.77466]"
740,725,12,Robbery (see also Thief) 7:86; 29:29,Robbery (see also Thief) 7:86; 29:29,"[190.2, 553.649, 331.82, 563.79]","[0.367252, 0.77466, 0.640703, 0.788848]"
740,725,12,"Rocks 2:24,60,74,264; 7:160; 11:82-","Rocks 2:24,60,74,264; 7:160; 11:82-","[190.2, 563.79, 331.82, 573.931]","[0.367252, 0.788848, 0.640703, 0.803037]"
740,725,12,83; 15:74; 17:50; 18:63; 31:16;,83; 15:74; 17:50; 18:63; 31:16;,"[190.2, 573.931, 331.82, 584.071]","[0.367252, 0.803037, 0.640703, 0.817226]"
740,725,12,44:45; 54:34; 66:6; 89:9; 105:4,44:45; 54:34; 66:6; 89:9; 105:4,"[190.2, 584.071, 331.82, 594.212]","[0.367252, 0.817226, 0.640703, 0.831415]"
740,725,12,Romans 30:2,Romans 30:2,"[190.2, 594.212, 331.82, 604.353]","[0.367252, 0.831415, 0.640703, 0.845603]"
740,725,12,Ropes 3:103; 20:66; 26:44; 111:5,Ropes 3:103; 20:66; 26:44; 111:5,"[190.2, 604.353, 331.82, 614.493]","[0.367252, 0.845603, 0.640703, 0.859792]"
740,725,12,Ruins 22:45; 23:41; 27:52; 28:58;,Ruins 22:45; 23:41; 27:52; 28:58;,"[190.2, 614.493, 331.82, 624.634]","[0.367252, 0.859792, 0.640703, 0.873981]"
740,725,13,29:67; 38:21,29:67; 38:21,"[338.39, 303.285, 464.95, 313.329]","[0.653389, 0.424353, 0.89776, 0.438406]"
740,725,13,"Satan (see also devils, Iblis)","Satan (see also devils, Iblis)","[338.39, 313.329, 464.95, 323.372]","[0.653389, 0.438406, 0.89776, 0.452459]"
